Package,OpenSSF_SS,OpenSSF_RS,Custom_SC,Custom_RS,Snyk_SC,Snyk_RS,Id,Label,Degree,Pageranks,Eigencentrality,In_reach,Avg_RS
rauth,0,10,0.595276741,5.95276741,61,3.9,3312,rauth-0.7.3,7,9.80E-05,0.00231,32,6.617589137
googletrans,0,10,0.623037385,6.23037385,61,3.9,7835,googletrans-3.0.0,2,4.10E-05,0.00046,14,6.710124617
pydrive,0,10,0.747704527,7.47704527,61,3.9,9921,pydrive-1.3.1,5,6.90E-05,0.00091,69,7.125681757
wikipedia,0,10,0.68507862,6.8507862,61,3.9,175,wikipedia-1.4.0,4,4.60E-05,0.00091,31,6.916928733
flask-graphql,0,10,0.774780683,7.74780683,61,3.9,5147,flask-graphql-2.0.1,5,7.10E-05,0.00091,16,7.21593561
feedgen,0,10,0.671641247,6.71641247,61,3.9,2865,feedgen-0.9.0,5,4.40E-05,0.00137,5,6.87213749
colourmap,0,10,0.847073608,8.47073608,61,3.9,1763,colourmap-1.1.10,9,6.30E-05,0.00331,29,7.456912027
path-py,5.14,4.86,0.891314342,8.91314342,62,3.8,4539,path-py-12.5.0,11,0.000135,0.00477,2,5.857714473
imapclient,4.57,5.43,0.74342947,7.4342947,62,3.8,3054,imapclient-2.2.0,5,4.40E-05,0.00139,3,5.5547649
asciimatics,3.86,6.14,0.745547218,7.45547218,62,3.8,7371,asciimatics-1.11.0,5,6.50E-05,0.00046,5,5.798490727
pygeos,3.84,6.16,0.762584626,7.62584626,62,3.8,4681,pygeos-0.14,2,4.00E-05,0.00046,2,5.861948753
astral,3.78,6.22,0.637322823,6.37322823,62,3.8,2574,astral-2.2,5,5.50E-05,0.00187,2,5.46440941
pamqp,3.68,6.32,0.778479146,7.78479146,62,3.8,871,pamqp-3.2.1,4,0.00015,0.00194,1,5.96826382
aws-error-utils,3.59,6.41,0.66815479,6.6815479,62,3.8,2727,aws-error-utils-2.5.0,2,3.90E-05,0.00046,18,5.630515967
pylsqpack,3.59,6.41,0.674739939,6.74739939,62,3.8,9984,pylsqpack-0.3.17,1,4.40E-05,0.00048,1,5.652466463
warlock,3.51,6.49,0.690986871,6.90986871,62,3.8,10028,warlock-1.3.3,4,3.80E-05,0.0005,9,5.73328957
qdldl,3.22,6.78,0.802990579,8.02990579,62,3.8,3265,qdldl-0.1.7,5,5.80E-05,0.00101,9,6.20330193
josepy,3.19,6.81,0.659504647,6.59504647,62,3.8,1121,josepy-1.13.0,9,5.10E-05,0.00144,12,5.73501549
hug,3.16,6.84,0.709885625,7.09885625,62,3.8,2900,hug-2.6.1,11,0.000198,0.00411,29,5.912952083
pyct,3.14,6.86,0.923984466,9.23984466,62,3.8,6244,pyct-0.5.0,4,0.0001,0.0016,2,6.633281553
numdifftools,3.14,6.86,0.771375133,7.71375133,62,3.8,1724,numdifftools-0.9.41,5,4.90E-05,0.00139,9,6.124583777
funcparserlib,3.11,6.89,0.785623436,7.85623436,62,3.8,224,funcparserlib-1.0.1,4,0.000458,0.00229,1,6.18207812
icecream,3.05,6.95,0.760474772,7.60474772,62,3.8,53,icecream-2.1.3,5,6.50E-05,0.00046,6,6.11824924
rdkit-pypi,3.05,6.95,0.797545425,7.97545425,62,3.8,8552,rdkit-pypi-2022.9.5,3,4.50E-05,0.00046,3,6.241818083
throttler,2.97,7.03,0.758071102,7.58071102,62,3.8,4239,throttler-1.2.2,1,3.60E-05,0.00048,1,6.136903673
rebulk,2.97,7.03,0.803684147,8.03684147,62,3.8,5187,rebulk-3.2.0,1,4.70E-05,0.00048,1,6.288947157
graphql-relay,2.89,7.11,0.785591543,7.85591543,62,3.8,1209,graphql-relay-2.0.1,5,0.000102,0.00134,5,6.255305143
casefy,2.81,7.19,0.847646259,8.47646259,62,3.8,2361,casefy-0.1.7,1,5.80E-05,0.0005,1,6.488820863
puremagic,2.81,7.19,0.819686038,8.19686038,62,3.8,7322,puremagic-1.15,2,4.00E-05,0.00091,1,6.395620127
edgegrid-python,2.46,7.54,0.626230186,6.26230186,62,3.8,4128,edgegrid-python-1.3.1,7,4.50E-05,0.00046,41,5.867433953
livereload,2.46,7.54,0.733204188,7.33204188,62,3.8,10123,livereload-2.6.3,3,5.00E-05,0.00046,3,6.22401396
progress,2.3,7.7,0.847170263,8.47170263,62,3.8,1512,progress-1.6,9,8.90E-05,0.00423,1,6.65723421
cma,1.95,8.05,0.645123998,6.45123998,62,3.8,4638,cma-3.3.0,3,4.30E-05,0.00091,2,6.100413327
gspread-formatting,1.89,8.11,0.809608017,8.09608017,62,3.8,4222,gspread-formatting-1.1.2,1,3.50E-05,0,52,6.66869339
tableschema-to-template,1.81,8.19,0.738553499,7.38553499,62,3.8,1630,tableschema-to-template-0.0.13,4,3.80E-05,0.00048,21,6.458511663
crontab,0,10,0.789486779,7.89486779,62,3.8,9303,crontab-0.22.9,1,6.50E-05,0.00046,1,7.231622597
