Package,OpenSSF_RS,Custom_SC,Custom_RS,Snyk_SC,Snyk_RS,Id,Label,Degree,Pageranks,Eigencentrality,In_reach,Avg_RS
azure-storage-blob,6,0.410265266,4.10265266,96,0.4,1098,azure-storage-blob-12.16.0,11,6.90E-05,0.00292,32,3.50088422
azure-common,6,0.411555059,4.11555059,88,1.2,6120,azure-common-1.1.28,4,7.80E-05,0.00209,1,3.771850197
azure-identity,6,0.411563994,4.11563994,96,0.4,1589,azure-identity-1.12.0,7,4.20E-05,0.00094,37,3.505213313
azure-keyvault-secrets,6,0.413309604,4.13309604,94,0.6,7031,azure-keyvault-secrets-4.7.0,5,4.60E-05,0.00048,33,3.57769868
azure-keyvault,6,0.412988704,4.12988704,88,1.2,7026,azure-keyvault-4.1.0,4,3.90E-05,0.00046,47,3.776629013
azure-cosmos,6,0.412560134,4.12560134,96,0.4,746,azure-cosmos-4.3.1,2,3.70E-05,0.00046,31,3.50853378
azure-servicebus,6,0.409931417,4.09931417,96,0.4,1577,azure-servicebus-7.9.0,5,3.60E-05,0.00046,33,3.49977139
azure-keyvault-keys,6,0.412461382,4.12461382,94,0.6,7030,azure-keyvault-keys-4.8.0,6,4.60E-05,0.00048,34,3.574871273
azure-keyvault-certificates,6,0.413258936,4.13258936,91,0.9,7025,azure-keyvault-certificates-4.2.1,5,5.00E-05,0.00094,44,3.677529787
onnx,5.97,0.634468486,6.34468486,85,1.5,9716,onnx-1.13.1,10,9.40E-05,0.00333,4,4.604894953
bokeh,5.95,0.585996621,5.85996621,100,0,388,bokeh-3.1.0,27,0.000124,0.00759,28,3.936655403
werkzeug,5.92,0.551480512,5.51480512,97,0.3,146,werkzeug-2.2.3,49,0.000752,0.02713,2,3.911601707
multidict,5.92,0.609892488,6.09892488,88,1.2,65,multidict-6.0.4,25,0.000773,0.0209,1,4.406308293
pytest,5.86,0.456905797,4.56905797,97,0.3,500,pytest-7.3.1,124,0.001057,0.05609,10,3.576352657
google-cloud,5.86,0.629320066,6.29320066,83,1.7,8630,google-cloud-0.34.0,2,5.20E-05,0.00091,1,4.617733553
docker-compose,5.86,0.516836621,5.16836621,70,3,1349,docker-compose-1.29.2,13,4.20E-05,0.00091,54,4.67612207
pyparsing,5.84,0.573270314,5.73270314,94,0.6,13,pyparsing-3.0.9,74,0.002492,0.05472,1,4.057567713
python-gvm,5.78,0.611608049,6.11608049,78,2.2,10896,python-gvm-23.4.0,4,6.50E-05,0.00046,11,4.698693497
apache-libcloud,5.78,0.637813862,6.37813862,93,0.7,5076,apache-libcloud-3.7.0,2,3.90E-05,0.00046,28,4.286046207
seaborn,5.76,0.603997133,6.03997133,94,0.6,750,seaborn-0.12.2,103,0.000422,0.04387,36,4.133323777
tensorstore,5.76,0.693362502,6.93362502,91,0.9,6536,tensorstore-0.1.35,5,5.10E-05,0.00196,2,4.53120834
async-lru,5.73,0.795397993,7.95397993,94,0.6,11804,async-lru-2.0.2,2,4.50E-05,0.00048,2,4.761326643
mne,5.7,0.477595761,4.77595761,93,0.7,2675,mne-1.3.1,15,5.60E-05,0.00231,73,3.725319203
schema-salad,5.7,0.70710758,7.0710758,84,1.6,4810,schema-salad-8.4.20230213094415,9,6.20E-05,0.00144,39,4.7903586
zipp,5.68,0.685200734,6.85200734,82,1.8,194,zipp-3.15.0,15,0.000858,0.00885,1,4.77733578
gitpython,5.68,0.671641247,6.71641247,97,0.3,1369,gitpython-3.1.31,90,0.000933,0.04142,3,4.23213749
httpx,5.68,0.551984718,5.51984718,100,0,648,httpx-0.24.0,72,0.000787,0.03108,12,3.733282393
httpcore,5.68,0.747009623,7.47009623,88,1.2,659,httpcore-0.17.0,7,0.000164,0.00285,6,4.78336541
configparser,5.68,0.91594428,9.1594428,81,1.9,806,configparser-5.3.0,34,0.000398,0.01595,1,5.579814267
python-gitlab,5.68,0.654795681,6.54795681,100,0,1550,python-gitlab-3.14.0,10,9.30E-05,0.00372,35,4.075985603
lxml,5.65,0.266529022,2.66529022,91,0.9,228,lxml-4.9.2,291,0.003007,0.13769,1,3.071763407
opencensus,5.65,0.718518538,7.18518538,94,0.6,369,opencensus-0.11.2,4,4.20E-05,0.00107,51,4.478395127
opencensus-ext-azure,5.65,0.719258477,7.19258477,94,0.6,1580,opencensus-ext-azure-1.1.9,6,3.60E-05,0.00046,62,4.48086159
opencensus-context,5.65,0.720072281,7.20072281,87,1.3,1593,opencensus-context-0.1.3,1,5.30E-05,0.00051,1,4.716907603
google-events,5.65,0.757784646,7.57784646,84,1.6,2859,google-events-0.5.0,2,3.50E-05,0,4,4.942615487
wheel,5.62,0.643444469,6.43444469,91,0.9,274,wheel-0.40.0,58,0.000893,0.02821,1,4.31814823
pygments,5.62,0.627188997,6.27188997,91,0.9,57,pygments-2.15.0,117,0.001492,0.06241,1,4.263963323
onnxconverter-common,5.62,0.624765252,6.24765252,87,1.3,10965,onnxconverter-common-1.13.0,6,5.80E-05,0.00098,6,4.389217507
pyhanko-certvalidator,5.62,0.649761218,6.49761218,73,2.7,10774,pyhanko-certvalidator-0.20.1,7,4.20E-05,0.00096,21,4.93920406
blspy,5.62,0.739041742,7.39041742,69,3.1,5030,blspy-1.0.16,3,9.00E-05,0.00096,2,5.37013914
praw,5.62,0.658652797,6.58652797,93,0.7,2869,praw-7.7.0,7,6.00E-05,0.00185,31,4.30217599
ax-platform,5.62,0.578766216,5.78766216,89,1.1,12230,ax-platform-0.2.0,8,4.50E-05,0.00046,76,4.16922072
platformdirs,5.59,0.614898023,6.14898023,88,1.2,385,platformdirs-3.2.0,22,0.000377,0.01269,1,4.31299341
msal,5.59,0.616765952,6.16765952,94,0.6,1591,msal-1.21.0,5,6.00E-05,0.00098,31,4.11921984
yt-dlp,5.59,0.565168642,5.65168642,85,1.5,12072,yt-dlp-2023.3.4,6,4.20E-05,0.00046,6,4.247228807
scrapy,5.59,0.587913223,5.87913223,97,0.3,1525,scrapy-2.8.0,21,7.40E-05,0.00139,56,3.923044077
zarr,5.59,0.636913193,6.36913193,90,1,3065,zarr-2.14.2,11,5.80E-05,0.00281,7,4.319710643
pycparser,5.57,0.722789175,7.22789175,81,1.9,156,pycparser-2.21,9,0.002986,0.00599,1,4.89929725
pycryptodomex,5.57,0.651675483,6.51675483,91,0.9,137,pycryptodomex-3.17,25,0.000327,0.01216,1,4.328918277
pycryptodome,5.57,0.634173958,6.34173958,91,0.9,112,pycryptodome-3.17,47,0.000704,0.02287,1,4.27057986
google-cloud-pubsub,5.57,0.716712464,7.16712464,94,0.6,1363,google-cloud-pubsub-2.16.0,9,4.90E-05,0.00137,52,4.445708213
hiredis,5.57,0.576936617,5.76936617,83,1.7,441,hiredis-2.2.2,3,0.000342,0.00253,1,4.34645539
django,5.54,0.544936339,5.44936339,96,0.4,318,django-4.2,98,0.002142,0.04662,4,3.796454463
constructs,5.54,0.568188515,5.68188515,94,0.6,9372,constructs-3.4.293,26,0.000161,0.01253,14,3.940628383
connexion,5.54,0.531633269,5.31633269,91,0.9,210,connexion-2.14.1,10,4.00E-05,0.00046,59,3.918777563
mediapipe,5.54,0.74221309,7.4221309,91,0.9,1492,mediapipe-0.9.2.1,15,8.50E-05,0.00274,35,4.6207103
importlib-metadata,5.51,0.738331031,7.38331031,90,1,186,importlib-metadata-6.5.0,15,0.00014,0.00881,2,4.631103437
grpcio,5.51,0.671641247,6.71641247,88,1.2,358,grpcio-1.53.0,81,0.001337,0.04742,1,4.475470823
grpcio-tools,5.51,0.671641247,6.71641247,88,1.2,1267,grpcio-tools-1.48.2,8,5.50E-05,0.00137,7,4.475470823
absl-py,5.51,0.671641247,6.71641247,94,0.6,673,absl-py-1.4.0,40,0.000328,0.02078,1,4.275470823
sentry-sdk,5.51,0.597955601,5.97955601,100,0,1302,sentry-sdk-1.19.1,17,0.000118,0.00562,32,3.829852003
mlflow,5.51,0.488109612,4.88109612,94,0.6,6823,mlflow-1.15.0,20,3.80E-05,0.00048,85,3.663698707
astropy,5.51,0.470102579,4.70102579,97,0.3,828,astropy-5.2.2,124,0.000882,0.05663,7,3.503675263
frozenlist,5.49,0.69515444,6.9515444,91,0.9,64,frozenlist-1.3.3,8,0.00041,0.00938,1,4.447181467
google-api-python-client,5.49,0.654472303,6.54472303,100,0,609,google-api-python-client-2.85.0,83,0.000684,0.03477,66,4.011574343
cycler,5.49,0.759591482,7.59591482,88,1.2,7,cycler-0.11.0,12,0.000319,0.020275,1,4.761971607
google-cloud-bigquery-storage,5.49,0.7454911,7.454911,94,0.6,2666,google-cloud-bigquery-storage-2.19.1,9,4.70E-05,0.00192,60,4.514970333
google-cloud-firestore,5.49,0.731906354,7.31906354,94,0.6,1257,google-cloud-firestore-2.11.0,6,4.60E-05,0.00096,61,4.469687847
libcst,5.49,0.583152547,5.83152547,97,0.3,1869,libcst-0.4.9,11,9.70E-05,0.00384,6,3.873841823
ujson,5.49,0.651022415,6.51022415,91,0.9,562,ujson-5.7.0,36,0.000369,0.01748,1,4.300074717
service-identity,5.49,0.707211381,7.07211381,85,1.5,1202,service-identity-21.1.0,17,0.000118,0.00548,11,4.68737127
cwl-utils,5.49,0.767310622,7.67310622,81,1.9,9931,cwl-utils-0.16,7,3.70E-05,0.00046,43,5.021035407
async-timeout,5.43,0.758138026,7.58138026,94,0.6,62,async-timeout-4.0.2,31,0.000926,0.02149,1,4.537126753
oauthlib,5.43,0.814313573,8.14313573,97,0.3,294,oauthlib-3.2.2,23,0.000299,0.01102,9,4.624378577
