Id,Label,Degree,Pageranks,Eigencentrality,FinalRiskScore,Category,PR_Category,,,
31,requests-2.28.2,1915,0.025964,0.906595,0.515598341,M,D,,,
32,certifi-2022.12.7,142,0.003763,0.123986,0.607135444,M,T,,,
33,charset-normalizer-3.1.0,11,0.001572,0.054054,0.753981657,H,T,,,
34,idna-3.4,41,0.003475,0.077516,0.638660348,M,T,,,
35,urllib3-1.26.15,223,0.004022,0.151327,0.564677815,M,T,,,
36,pysocks-1.7.1,13,0.001858,0.05515,0.831900379,H,T,,,
37,charset-normalizer-2.1.1,6,0.001292,0.04602,0.753981657,H,T,,,
38,urllib3-1.26.7,6,0.001361,0.04663,0.564677815,M,T,,,
39,certifi-2018.4.16,2,0.001266,0.04363,0.607135444,M,T,,,
40,idna-2.7,6,0.001408,0.04666,0.638660348,M,T,,,
41,idna-2.10,21,0.001561,0.05494,0.638660348,M,T,,,
42,urllib3-1.25.8,2,0.001264,0.04363,0.564677815,M,T,,,
43,charset-normalizer-3.0.1,4,0.001264,0.04456,0.753981657,H,T,,,
44,urllib3-1.26.14,5,0.001295,0.04507,0.564677815,M,T,,,
45,urllib3-1.24.2,2,0.001267,0.04363,0.564677815,M,T,,,
46,certifi-2020.12.5,11,0.001351,0.0485,0.607135444,M,T,,,
47,certifi-2018.11.29,6,0.001362,0.04621,0.607135444,M,T,,,
48,certifi-2021.10.8,8,0.00138,0.04752,0.607135444,M,T,,,
49,urllib3-1.25.11,11,0.001455,0.04901,0.564677815,M,T,,,
50,numpy-1.22.2,6,0.000871,0.02258,0.260893907,L,T,,,
51,numpy-1.22.3,21,0.001149,0.03666,0.260893907,L,T,,,
52,goedwig-0.2.0,1,0.000035,0,0.831759884,H,T,,,
53,icecream-2.1.3,5,0.000065,0.00046,0.760474772,H,T,,,
54,asttokens-2.2.1,9,0.000169,0.00403,0.775663731,H,T,,,
55,colorama-0.4.6,166,0.001805,0.07894,0.608161838,M,T,,,
56,executing-1.2.0,7,0.000175,0.00348,0.646274343,M,T,,,
57,pygments-2.15.0,117,0.001492,0.06241,0.627188997,M,T,,,
58,hubitatmaker-0.6.1,2,0.000035,0,0.656422164,M,T,,,
59,aiohttp-3.8.4,243,0.002798,0.1081,0.327320982,L,T,,,
60,getmac-0.9.3,2,0.000065,0.00091,0.671641247,M,T,,,
61,aiosignal-1.3.1,6,0.000205,0.00777,0.648895329,M,T,,,
62,async-timeout-4.0.2,31,0.000926,0.02149,0.758138026,H,T,,,
63,attrs-23.1.0,90,0.001288,0.05565,0.827546126,H,T,,,
64,frozenlist-1.3.3,8,0.00041,0.00938,0.69515444,M,T,,,
65,multidict-6.0.4,25,0.000773,0.0209,0.609892488,M,T,,,
66,yarl-1.8.2,44,0.000646,0.02443,0.580524187,M,T,,,
67,aiodns-3.0.0,9,0.000227,0.00892,0.75576147,H,T,,,
68,brotli-1.0.9,19,0.000415,0.01508,0.568848542,M,T,,,
69,attrs-22.2.0,93,0.001203,0.05659,0.827546126,H,T,,,
70,attrs-19.1.0,6,0.000214,0.00791,0.827546126,H,T,,,
71,yarl-1.8.1,7,0.000198,0.00764,0.580524187,M,T,,,
72,attrs-20.3.0,6,0.000206,0.00789,0.827546126,H,T,,,
73,attrs-21.4.0,31,0.000556,0.02317,0.827546126,H,T,,,
74,yarl-1.1.1,4,0.000189,0.00602,0.580524187,M,T,,,
75,multidict-5.2.0,6,0.00031,0.00912,0.609892488,M,T,,,
76,multidict-4.7.6,8,0.000211,0.00497,0.609892488,M,T,,,
77,humble-0.1.2,3,0.000035,0,0.695344659,M,T,,,
78,clint-0.5.1,8,0.000097,0.00324,0.597938569,M,T,,,
79,github2-0.6.2,3,0.000045,0.00046,0.671641247,M,T,,,
80,args-0.1.0,2,0.000118,0.00107,0.642257113,M,T,,,
81,httplib2-0.22.0,61,0.000772,0.03305,0.724571015,M,T,,,
82,gym-armed-bandits-0.0.1,2,0.000035,0,0.847724914,H,T,,,
83,gym-0.26.2,114,0.00153,0.05042,0.678585024,M,T,,,
