Id,Label,Degree,Pageranks,Eigencentrality
94,hexbytes-0.3.0,18,0.000126,0.00899
95,jsonschema-4.17.3,118,0.000800,0.05165
96,lru-dict-1.1.8,18,0.000101,0.00907
97,protobuf-4.22.3,254,0.003590,0.13133
98,websockets-11.0.1,35,0.000385,0.01755
99,eth-tester-0.8.0b3,9,0.000039,0.00059
100,py-geth-3.12.0,2,0.000039,0.00059
101,websockets-11.0.2,11,0.000150,0.00589
102,parsimonious-0.9.0,2,0.000049,0.00060
103,hypothesis-4.57.1,4,0.000059,0.00105
104,cytoolz-0.12.1,14,0.000262,0.00722
105,toolz-0.12.0,34,0.000582,0.01750
106,regex-2023.3.23,54,0.000799,0.02727
107,bitarray-2.7.3,9,0.000109,0.00430
108,eth-keyfile-0.6.1,5,0.000044,0.00098
109,eth-keys-0.4.0,9,0.000080,0.00339
110,eth-rlp-0.3.0,5,0.000044,0.00098
111,rlp-3.0.0,8,0.000073,0.00341
112,pycryptodome-3.17,47,0.000704,0.02287
113,safe-pysha3-1.0.3,1,0.000119,0.00067
114,pyrsistent-0.19.3,10,0.000186,0.00765
115,fqdn-1.5.1,2,0.000093,0.00331
116,isoduration-20.11.0,2,0.000087,0.00286
117,jsonpointer-2.3,4,0.000219,0.00464
118,rfc3339-validator-0.1.4,5,0.000103,0.00432
119,rfc3986-validator-0.1.1,2,0.000095,0.00336
120,uri-template-1.2.0,1,0.000087,0.00286
121,webcolors-1.13,5,0.000143,0.00487
122,rfc3987-1.3.8,4,0.000115,0.00442
123,h2o-wave-ml-0.8.1,3,0.000035,0.00000
124,driverlessai-1.10.4.3,5,0.000045,0.00046
125,h2o-3.40.0.3,5,0.000055,0.00091
126,tabulate-0.9.0,116,0.000864,0.05436
127,toml-0.10.2,86,0.000646,0.04071
128,tornado-6.2,53,0.000596,0.02800
129,future-0.18.3,154,0.001809,0.07324
130,grimoirelab-toolkit-0.3.3,4,0.000036,0.00094
131,able-0.3.4,1,0.000035,0.00000
132,dbus-next-0.2.3,3,0.000078,0.00137
133,hekatomb-1.5,4,0.000035,0.00000
134,dnspython-2.3.0,27,0.001000,0.01394
135,impacket-0.10.0,10,0.000042,0.00046
136,ldap3-2.9.1,8,0.000108,0.00329
137,pycryptodomex-3.17,25,0.000327,0.01216
138,chardet-5.1.0,43,0.000458,0.02040
139,flask-2.2.3,161,0.001773,0.07513
140,ldapdomaindump-0.9.4,5,0.000042,0.00096
141,pyasn1-0.4.8,37,0.001454,0.02102
142,pyopenssl-23.1.1,51,0.000872,0.02963
143,click-8.1.3,587,0.007014,0.28405
144,itsdangerous-2.1.2,27,0.000553,0.01738
145,jinja2-3.1.2,268,0.002919,0.13594
146,werkzeug-2.2.3,49,0.000752,0.02713
147,jinja2-3.0.3,16,0.000394,0.01042
148,markupsafe-2.1.2,39,0.002057,0.02799
149,markupsafe-2.0.1,15,0.001052,0.01474
150,markupsafe-2.1.1,9,0.000814,0.01089
151,babel-2.12.1,35,0.000848,0.02388
152,cryptography-40.0.2,140,0.003152,0.07871
153,cryptography-40.0.1,24,0.001326,0.02165
154,cryptography-39.0.2,4,0.000292,0.00262
155,cffi-1.15.1,74,0.006730,0.04071
156,pycparser-2.21,9,0.002986,0.00599
157,pycparser-2.14,2,0.002916,0.00271
158,hm3u8dl-cli-0.4.9,8,0.000035,0.00000
159,m3u8-3.4.0,3,0.000046,0.00091
160,multiprocess-0.70.14,15,0.000102,0.00711
161,retry-0.9.2,14,0.000110,0.00573
162,rich-13.3.4,86,0.000749,0.04033
163,iso8601-1.1.0,41,0.000375,0.02114
164,dill-0.3.6,52,0.000415,0.02554
165,decorator-5.1.1,62,0.000888,0.03326
166,py-1.11.0,22,0.000318,0.01118
167,markdown-it-py-2.2.0,16,0.000555,0.00806
168,pygments-2.15.1,18,0.000437,0.01362
169,mdurl-0.1.2,2,0.000193,0.00125
170,linkify-it-py-2.0.0,3,0.000193,0.00127
171,mdit-py-plugins-0.3.5,4,0.000200,0.00175
172,hackme-1.0.0,3,0.000035,0.00000
173,pylintfileheader-0.3.2,1,0.000045,0.00046
174,scapy-2.5.0,6,0.000071,0.00277
175,wikipedia-1.4.0,4,0.000046,0.00091
176,beautifulsoup4-4.12.2,243,0.002249,0.11444
177,soupsieve-2.4,10,0.001315,0.01075
178,soupsieve-2.4.1,9,0.001304,0.01040
179,hslog-1.17.3,3,0.000042,0.00046
180,aniso8601-9.0.1,8,0.000170,0.00437
181,hearthstone-6.5.1,3,0.000060,0.00094
182,holdmykeys-0.1.0,1,0.000035,0.00000
183,hypers-nacos-0.1.67,2,0.000035,0.00000
184,pyyaml-6.0,630,0.006842,0.30760
185,twine-4.0.2,26,0.000113,0.00702
186,importlib-metadata-6.5.0,15,0.000140,0.00881
187,keyring-23.13.1,30,0.000220,0.01125
188,pkginfo-1.9.6,6,0.000057,0.00317
189,readme-renderer-37.3,8,0.000052,0.00175
190,requests-toolbelt-0.10.1,41,0.001247,0.02310
191,rfc3986-2.0.0,7,0.000067,0.00411
192,importlib-metadata-6.4.1,26,0.000374,0.01363
193,importlib-metadata-6.3.0,21,0.000202,0.01155
194,zipp-3.15.0,15,0.000858,0.00885
195,jaraco-classes-3.2.3,5,0.000109,0.00242
196,jeepney-0.8.0,6,0.000146,0.00350
197,secretstorage-3.3.3,8,0.000125,0.00292
198,importlib-metadata-6.0.0,3,0.000063,0.00144
199,more-itertools-9.1.0,37,0.000486,0.01789
200,bleach-6.0.0,13,0.000084,0.00586
201,docutils-0.19,46,0.000502,0.02340
202,docutils-0.18.1,7,0.000121,0.00444
203,webencodings-0.5.1,14,0.000535,0.00819
204,requests-2.27.1,29,0.000750,0.01023
205,how-short-0.1.1,1,0.000035,0.00000
206,pendulum-2.1.2,28,0.000200,0.01229
207,pytzdata-2020.1,3,0.000142,0.00198
208,gunicorn-flask-swagger-example-0.0.2,6,0.000035,0.00000
209,colorlog-6.6.0,3,0.000047,0.00137
210,connexion-2.14.1,10,0.000040,0.00046
211,flask-cors-3.0.10,21,0.000114,0.00788
212,flask-2.2.2,12,0.000099,0.00367
213,gunicorn-20.1.0,26,0.000183,0.01172
214,swagger-ui-bundle-0.0.9,3,0.000047,0.00100
215,clickclick-20.10.2,7,0.000078,0.00244
216,inflection-0.5.1,18,0.000201,0.00864
217,werkzeug-2.2.2,3,0.000053,0.00108
218,flask-1.1.4,37,0.000367,0.01577
219,setuptools-67.6.1,435,0.008323,0.22734
