,Id,Label,Degree,Pageranks,Eigencentrality,FinalRiskScore,Category
1444,1444,marshmallow-3.19.0,41,0.000417,0.01874,0.65199144,M
68,68,brotli-1.0.9,19,0.000415,0.01508,0.568848542,M
164,164,dill-0.3.6,52,0.000415,0.02554,0.875266364,H
904,904,chardet-3.0.4,37,0.000414,0.01922,0.740379799,M
639,639,cryptography-3.4.8,19,0.000412,0.01067,0.494391255,L
64,64,frozenlist-1.3.3,8,0.00041,0.00938,0.627251129,M
85,85,gym-notices-0.0.8,4,0.00041,0.00439,0.684347051,M
612,612,google-auth-httplib2-0.1.0,53,0.000407,0.02336,0.573668716,M
1204,1204,graphql-core-2.3.2,23,0.000407,0.00993,0.609022286,M
19,19,pillow-8.4.0,13,0.000406,0.02144,0.390081507,L
1573,1573,sqlalchemy-1.4.47,38,0.000403,0.01815,0.223702889,L
806,806,configparser-5.3.0,34,0.000398,0.01595,0.91594428,H
147,147,jinja2-3.0.3,16,0.000394,0.01042,0.573668716,M
252,252,python-dotenv-1.0.0,31,0.000391,0.01831,0.580229603,M
276,276,numba-0.56.4,48,0.000386,0.02032,0.573668716,M
98,98,websockets-11.0.1,35,0.000385,0.01755,0.616334727,M
1568,1568,trio-0.22.0,22,0.000385,0.0074,0.625165286,M
740,740,isodate-0.6.1,27,0.000384,0.01321,0.626133602,M
1277,1277,biopython-1.81,41,0.000384,0.01798,0.494134228,L
610,610,google-auth-oauthlib-1.0.0,44,0.000382,0.01956,0.611642131,M
241,241,nltk-3.8.1,37,0.000379,0.01526,0.768963608,H
385,385,platformdirs-3.2.0,22,0.000377,0.01269,0.614898023,M
163,163,iso8601-1.1.0,41,0.000375,0.02114,0.573668716,M
192,192,importlib-metadata-6.4.1,26,0.000374,0.01363,0.738331031,M
340,340,h11-0.14.0,18,0.00037,0.00952,0.573668716,M
562,562,ujson-5.7.0,36,0.000369,0.01748,0.590852928,M
218,218,flask-1.1.4,37,0.000367,0.01577,0.763313977,H
230,230,typing-3.7.4.3,27,0.000367,0.0125,0.6436541,M
267,267,sympy-1.11.1,26,0.000363,0.01483,0.49260513,L
470,470,psutil-5.9.5,48,0.00036,0.0233,0.60049988,M
792,792,pyqt5-5.15.9,44,0.000358,0.01938,0.573668716,M
1290,1290,paho-mqtt-1.6.1,25,0.000358,0.01156,0.573668716,M
569,569,s3transfer-0.6.0,16,0.000357,0.00697,0.573668716,M
480,480,ptyprocess-0.7.0,4,0.000353,0.00286,0.78223555,H
605,605,pyqt5-sip-12.12.0,12,0.000353,0.0067,0.573668716,M
362,362,scikit-image-0.20.0,65,0.000352,0.02569,0.45153039,L
987,987,prettytable-3.7.0,47,0.000351,0.02196,0.602025752,M
515,515,qtpy-2.3.1,27,0.00035,0.01282,0.853456494,H
660,660,h2-4.1.0,19,0.000349,0.00989,0.573668716,M
528,528,mypy-extensions-1.0.0,23,0.000344,0.01211,0.763906219,H
1016,1016,pluggy-1.0.0,19,0.000344,0.01229,0.606995648,M
869,869,tzlocal-4.3,39,0.000343,0.01906,0.67877519,M
9,9,kiwisolver-1.4.4,14,0.000342,0.021345,0.595092828,M
441,441,hiredis-2.2.2,3,0.000342,0.00253,0.576936617,M
555,555,bcrypt-4.0.1,20,0.000337,0.01093,0.726182076,M
1205,1205,promise-2.3,17,0.000337,0.0086,0.765197434,H
526,526,commonmark-0.9.1,17,0.000333,0.00869,0.75256517,H
965,965,boto3-1.26.115,40,0.000329,0.01724,0.573668716,M
673,673,absl-py-1.4.0,40,0.000328,0.02078,0.573668716,M
137,137,pycryptodomex-3.17,25,0.000327,0.01216,0.651675483,M
888,888,pytz-deprecation-shim-0.1.0.post0,2,0.000326,0.00133,0.573668716,M
476,476,prompt-toolkit-3.0.38,27,0.000325,0.01399,0.531189828,M
514,514,arrow-1.2.3,26,0.000324,0.01189,0.659191871,M
614,614,uritemplate-4.1.1,26,0.000324,0.0143,0.689428078,M
1090,1090,importlib-resources-5.12.0,29,0.000321,0.01451,0.75712155,H
474,474,pexpect-4.8.0,34,0.00032,0.01747,0.573668716,M
7,7,cycler-0.11.0,12,0.000319,0.020275,0.759591482,H
