,Node,Degree,Pageranks,EigenCentrality,Reach
231,231,3,0.00012060171719405102,3.761111225649337e-18,39
1081,1081,5,0.0001356316788006284,5.1717885046657154e-18,278
1082,1082,3,0.00016506481998804324,6.541444501711548e-18,1
1083,1083,4,0.00012676093092960636,8.733818807737067e-18,1
1084,1084,2,0.00011555548825768929,5.723654181344769e-18,1
261,261,7,0.00011555548825768929,5.3385917155508834e-18,27
1085,1085,1,0.00011032616232417468,4.005571271276883e-18,1
1086,1086,2,0.0001393493848779482,1.8755767159411504e-18,2
1087,1087,4,0.00025938766193228224,4.50242364452547e-19,1
1088,1088,3,0.00015938714327475755,-1.230866688335825e-18,1
1089,1089,19,0.0005807419052467826,0.010204896020404041,2
1090,1090,2,0.00022882506255069788,8.34337967599183e-18,2
1091,1091,2,0.0002220651292251115,9.193463653323386e-18,2
1092,1092,5,0.0009320924366526785,4.949860025778373e-17,13
705,705,24,0.002061954364740547,0.06346922002681336,1
1093,1093,7,0.0005505190500220099,0.001713923489696984,3
1094,1094,1,0.00045142683176835823,0.001713923489697007,1
1095,1095,1,0.00045142683176835823,0.001713923489697006,1
1096,1096,4,0.0002366568304807615,1.8004281839605037e-18,1
1097,1097,3,0.00034374357337447353,0.0004770219718146844,1
1098,1098,4,0.00017133929601323826,-1.1563147221805412e-18,3
1099,1099,5,0.000525661038351701,-1.9932074649292305e-17,1
1100,1100,7,0.0004806101301853829,1.0274904910777144e-16,5
904,904,4,0.0003626858864417719,7.199123520243925e-17,1
1101,1101,1,0.0014496608182652652,2.0494428912617626e-16,1
1102,1102,5,0.001837344158964107,2.834892157650886e-16,1
1103,1103,2,0.0017604981703182162,1.7858960683102562e-16,1
721,721,5,0.00016441706615260318,1.636032621881206e-17,2
1104,1104,2,0.00011872324865626192,2.6097193844098973e-18,2
280,280,4,0.00012464563896210488,1.5557752741750848e-17,2
369,369,3,0.00012086629349967799,1.303920022893876e-17,2
915,915,5,0.00020091004333272554,1.5635265684681622e-17,2
1105,1105,5,0.00020091004333272554,1.582584808347228e-17,2
1106,1106,5,0.00021759253948215368,1.0882933268495981e-17,2
1107,1107,5,0.0002092646275325879,1.2446599881663673e-17,2
352,352,6,0.00016170977170818396,1.936311580748641e-17,2
720,720,5,0.00020091004333272554,1.7762588732520423e-17,2
1108,1108,5,0.00019352957001157476,1.242222377192319e-17,2
1109,1109,3,0.00012086629349967799,1.3624923454275031e-17,2
590,590,1,0.0001456177378286971,2.814964970470056e-18,1
102,102,18,0.004114628618908645,0.0271704536025669,3
986,986,9,0.00022419891037327535,0.0032154497121036694,15
