,Id,Label,Degree,Pageranks,Eigencentrality,Reachability,Log2_reach,R_Reachability,R_Log2_reach,RiskScore,Category,PR_Category,R_Category,R_Lo10_reach
5200,5200,erddapy-1.2.1,3,4.50E-05,0.00046,39,5.285402219,2,4.5,0.628136296,H,T,T,0.02
5203,5203,golog-0.6.2,10,4.10E-05,0.00046,122,6.930737338,2,4.5,0.831211053,H,T,T,0.02
5205,5205,pyttsx3-2.90,1,4.10E-05,0.00046,1,0,2,4.5,0.804671793,H,T,T,0.02
5206,5206,speechrecognition-3.10.0,2,4.10E-05,0.00046,28,4.807354922,2,4.5,0.66381343,H,T,T,0.02
5211,5211,graphene-django-extras-1.0.0,5,4.50E-05,0.00046,20,4.321928095,2,4.5,0.746272868,H,T,T,0.02
5220,5220,haros-plugins-1.1.5,4,3.90E-05,0.00046,18,4.169925001,2,4.5,0.831474111,H,T,T,0.02
5226,5226,adafruit-circuitpython-ads1x15-2.2.21,4,4.50E-05,0.00046,13,3.700439718,2,4.5,0.62463521,H,T,T,0.02
5229,5229,datalad-0.18.3,18,4.20E-05,0.00046,61,5.930737338,2,4.5,0.701533906,H,T,T,0.02
5241,5241,console-0.9907,2,5.00E-05,0.00046,2,1,2,4.5,0.83172623,H,T,T,0.02
5245,5245,fastapi-0.71.0,3,4.10E-05,0.00046,14,3.807354922,2,4.5,0.509274366,H,T,T,0.02
5246,5246,uvicorn-0.16.0,4,4.10E-05,0.00046,4,2,2,4.5,0.608885295,H,T,T,0.02
5247,5247,weback-unofficial-0.3.5,1,4.10E-05,0.00046,1,0,2,4.5,0.731583482,H,T,T,0.02
5253,5253,opentelemetry-exporter-otlp-1.8.0,3,3.60E-05,0.00046,48,5.584962501,2,4.5,0.541198794,H,T,T,0.02
5254,5254,opentelemetry-exporter-zipkin-1.8.0,3,3.60E-05,0.00046,36,5.169925001,2,4.5,0.541242085,H,T,T,0.02
5255,5255,opentelemetry-instrumentation-aiohttp-client-0.27b0,6,3.60E-05,0.00046,8,3,2,4.5,0.671641247,H,T,T,0.02
5256,5256,opentelemetry-instrumentation-aws-lambda-0.27b0,4,3.60E-05,0.00046,8,3,2,4.5,0.671641247,H,T,T,0.02
5257,5257,opentelemetry-instrumentation-boto-0.27b0,4,3.60E-05,0.00046,7,2.807354922,2,4.5,0.671641247,H,T,T,0.02
5258,5258,opentelemetry-instrumentation-botocore-0.27b0,4,3.60E-05,0.00046,7,2.807354922,2,4.5,0.671641247,H,T,T,0.02
5259,5259,opentelemetry-instrumentation-django-0.27b0,6,3.60E-05,0.00046,9,3.169925001,2,4.5,0.671641247,H,T,T,0.02
5260,5260,opentelemetry-instrumentation-fastapi-0.27b0,6,3.60E-05,0.00046,10,3.321928095,2,4.5,0.671641247,H,T,T,0.02
5261,5261,opentelemetry-instrumentation-flask-0.27b0,6,3.60E-05,0.00046,9,3.169925001,2,4.5,0.671641247,H,T,T,0.02
5262,5262,opentelemetry-instrumentation-grpc-0.27b0,6,3.60E-05,0.00046,8,3,2,4.5,0.671641247,H,T,T,0.02
5263,5263,opentelemetry-instrumentation-mysql-0.27b0,4,3.60E-05,0.00046,8,3,2,4.5,0.671641247,H,T,T,0.02
5264,5264,opentelemetry-instrumentation-psycopg2-0.27b0,4,3.60E-05,0.00046,8,3,2,4.5,0.671641247,H,T,T,0.02
5265,5265,opentelemetry-instrumentation-requests-0.27b0,5,3.60E-05,0.00046,8,3,2,4.5,0.671641247,H,T,T,0.02
5268,5268,opentelemetry-propagator-b3-1.8.0,3,3.60E-05,0.00046,4,2,2,4.5,0.541676312,H,T,T,0.02
5282,5282,hieratic-0.0.7,4,4.50E-05,0.00046,4,2,2,4.5,0.695727711,H,T,T,0.02
5285,5285,soappy-0.12.22,3,5.00E-05,0.00046,6,2.584962501,2,4.5,0.713401213,H,T,T,0.02
5289,5289,htheatpump-1.3.1,3,5.00E-05,0.00046,3,1.584962501,2,4.5,0.673770368,H,T,T,0.02
5290,5290,xknx-0.16.1,4,5.00E-05,0.00046,4,2,2,4.5,0.651241761,H,T,T,0.02
5295,5295,acdh-geonames-utils-0.5.0,5,4.50E-05,0.00046,41,5.357552005,2,4.5,0.695128058,H,T,T,0.02
5305,5305,zc-recipe-testrunner-3.0,5,5.00E-05,0.00046,10,3.321928095,2,4.5,0.723016408,H,T,T,0.02
5309,5309,bitsandbytes-0.38.1,1,3.80E-05,0.00046,1,0,2,4.5,0.628440887,H,T,T,0.02
5313,5313,dgl-1.0.1,7,4.10E-05,0.00046,65,6.022367813,2,4.5,0.633824364,H,T,T,0.02
5314,5314,floris-3.3,10,4.10E-05,0.00046,41,5.357552005,2,4.5,0.615523348,H,T,T,0.02
5316,5316,pysnmp-4.4.12,4,6.50E-05,0.00046,5,2.321928095,2,4.5,0.737630036,H,T,T,0.02
5329,5329,webarticlecurator-1.10.2,11,4.10E-05,0.00046,39,5.285402219,2,4.5,0.709904006,H,T,T,0.02
5337,5337,black-23.1.0,7,4.20E-05,0.00046,7,2.807354922,2,4.5,0.502538595,H,T,T,0.02
5341,5341,pickle-mixin-1.0.2,1,3.90E-05,0.00046,1,0,2,4.5,0.695521557,H,T,T,0.02
5348,5348,pandas-plink-2.2.9,10,4.10E-05,0.00046,111,6.794415866,2,4.5,0.647605385,H,T,T,0.02
5360,5360,h11-0.8.1,1,4.00E-05,0.00046,1,0,2,4.5,0.969386084,H,T,T,0.02
5362,5362,mdutils-1.3.1,1,4.10E-05,0.00046,1,0,2,4.5,0.644260553,H,T,T,0.02
5369,5369,grafanalib-0.5.14,2,5.00E-05,0.00046,2,1,2,4.5,0.580414526,H,T,T,0.02
5372,5372,jinja2-2.8,2,4.10E-05,0.00046,2,1,2,4.5,0.785435104,H,T,T,0.02
5374,5374,notifypy-1.0.3.0,3,3.70E-05,0.00046,54,5.754887502,2,4.5,0.671641247,H,T,T,0.02
5376,5376,python-socketio-4.6.0,5,3.70E-05,0.00046,31,4.95419631,2,4.5,0.721468629,H,T,T,0.02
5377,5377,sockets-1.0.0,1,3.70E-05,0.00046,1,0,2,4.5,0.758411229,H,T,T,0.02
5378,5378,wafw00f-2.2.0,3,3.70E-05,0.00046,29,4.857980995,2,4.5,0.675576397,H,T,T,0.02
5381,5381,executing-0.6.0,1,6.50E-05,0.00046,1,0,2,4.5,0.646274343,H,T,T,0.02
5383,5383,autoreject-0.4.1,7,3.70E-05,0.00046,79,6.303780748,2,4.5,0.752503405,H,T,T,0.02
5385,5385,hilbertcurve-2.0.5,2,3.70E-05,0.00046,2,1,2,4.5,0.820383096,H,T,T,0.02
5386,5386,podsixnet-0.11.0,1,3.70E-05,0.00046,1,0,2,4.5,0.807165649,H,T,T,0.02
5388,5388,wave-0.0.2,1,3.70E-05,0.00046,1,0,2,4.5,0.671641247,H,T,T,0.02
5391,5391,cached-url-0.0.35,1,4.50E-05,0.00046,1,0,2,4.5,0.835330811,H,T,T,0.02
5392,5392,telegram-util-0.0.158,2,4.50E-05,0.00046,16,4,2,4.5,0.751338372,H,T,T,0.02
5398,5398,python-json-logger-0.1.9,2,5.00E-05,0.00046,2,1,2,4.5,0.597006155,H,T,T,0.02
5399,5399,python-logstash-async-1.4.1,3,5.00E-05,0.00046,9,3.169925001,2,4.5,0.75833664,H,T,T,0.02
5411,5411,types-python-dateutil-2.8.19.12,1,3.60E-05,0.00046,1,0,2,4.5,0.548196466,H,T,T,0.02
5420,5420,aiomysql-0.0.21,2,4.20E-05,0.00046,2,1,2,4.5,0.71658393,H,T,T,0.02
5421,5421,aiosqlite-0.16.0,2,4.20E-05,0.00046,2,1,2,4.5,0.831619249,H,T,T,0.02
5423,5423,sqlalchemy-1.3.20,1,4.20E-05,0.00046,1,0,2,4.5,0.223702889,L,T,T,0.02
5425,5425,p5-0.8.2,10,4.10E-05,0.00046,39,5.285402219,2,4.5,0.84745136,H,T,T,0.02
5435,5435,imgkit-1.2.3,2,4.50E-05,0.00046,2,1,2,4.5,0.805543584,H,T,T,0.02
5439,5439,httpsproxy-urllib2-1.0,1,4.00E-05,0.00046,1,0,2,4.5,0.671641247,H,T,T,0.02
5443,5443,awsiotpythonsdk-1.5.2,1,4.10E-05,0.00046,1,0,2,4.5,0.671641247,H,T,T,0.02
5452,5452,anybase32-1.1.0,1,4.50E-05,0.00046,1,0,2,4.5,0.832004018,H,T,T,0.02
5453,5453,pynumparser-1.4.1,1,4.50E-05,0.00046,1,0,2,4.5,0.671641247,H,T,T,0.02
5457,5457,lazy-import-0.2.2,2,3.90E-05,0.00046,2,1,2,4.5,0.832085139,H,T,T,0.02
5458,5458,neomodel-next-3.5.3.0,5,3.90E-05,0.00046,9,3.169925001,2,4.5,0.736440571,H,T,T,0.02
5474,5474,graphviz-0.19.1,1,5.00E-05,0.00046,1,0,2,4.5,0.756550078,H,T,T,0.02
5476,5476,nagooglesearch-6.0,5,3.90E-05,0.00046,44,5.459431619,2,4.5,0.711057045,H,T,T,0.02
5479,5479,do-mpc-4.5.1,4,4.50E-05,0.00046,30,4.906890596,2,4.5,0.622371998,H,T,T,0.02
5481,5481,autohash-0.0.1,1,5.00E-05,0.00046,1,0,2,4.5,0.847622743,H,T,T,0.02
5483,5483,pybase62-0.4.3,1,3.90E-05,0.00046,1,0,2,4.5,0.847647812,H,T,T,0.02
5491,5491,nidaqmx-0.7.0,3,4.00E-05,0.00046,6,2.584962501,2,4.5,0.8992999,H,T,T,0.02
5494,5494,plone-testing-8.0.3,4,5.00E-05,0.00046,4,2,2,4.5,0.746969932,H,T,T,0.02
5497,5497,i3-tree-0.2,2,6.50E-05,0.00046,2,1,2,4.5,0.695282924,H,T,T,0.02
5509,5509,honeybee-energy-1.99.22,3,4.20E-05,0.00046,19,4.247927513,2,4.5,0.741784445,H,T,T,0.02
5510,5510,ladybug-rhino-1.39.10,2,4.20E-05,0.00046,5,2.321928095,2,4.5,0.776351329,H,T,T,0.02
5511,5511,ph-units-1.0.6,1,4.20E-05,0.00046,1,0,2,4.5,0.695206454,H,T,T,0.02
5518,5518,neuron-8.2.2,2,4.20E-05,0.00046,2,1,2,4.5,0.581742091,H,T,T,0.02
5533,5533,ebrains-drive-0.5.1,2,4.50E-05,0.00046,28,4.807354922,2,4.5,0.650494165,H,T,T,0.02
5534,5534,nameparser-1.1.2,1,4.50E-05,0.00046,1,0,2,4.5,0.743076351,H,T,T,0.02
5536,5536,fnvhash-0.1.0,1,5.00E-05,0.00046,1,0,2,4.5,0.831893275,H,T,T,0.02
5542,5542,qbittorrent-api-2023.4.46,5,4.00E-05,0.00046,30,4.906890596,2,4.5,0.932204641,H,T,T,0.02
5544,5544,gsl-0.0.3,3,6.50E-05,0.00046,4,2,2,4.5,0.831714796,H,T,T,0.02
5546,5546,honcho-1.1.0,1,5.00E-05,0.00046,1,0,2,4.5,0.605870009,H,T,T,0.02
5548,5548,fastapi-0.79.1,3,4.10E-05,0.00046,14,3.807354922,2,4.5,0.509274366,H,T,T,0.02
5549,5549,uvicorn-0.18.3,3,4.10E-05,0.00046,3,1.584962501,2,4.5,0.608885295,H,T,T,0.02
5554,5554,django-solo-2.0.0,2,3.80E-05,0.00046,5,2.321928095,2,4.5,0.61431502,H,T,T,0.02
5555,5555,ethereum-2.3.1,12,3.80E-05,0.00046,25,4.64385619,2,4.5,0.598790223,H,T,T,0.02
5560,5560,ansible-cmdb-1.31,5,3.90E-05,0.00046,7,2.807354922,2,4.5,0.629598538,H,T,T,0.02
5564,5564,attrs-17.4.0,1,4.20E-05,0.00046,1,0,2,4.5,0.827546126,H,T,T,0.02
5565,5565,semver-2.7.7,1,4.20E-05,0.00046,1,0,2,4.5,0.671645522,H,T,T,0.02
5567,5567,boto3-1.17.27,4,6.50E-05,0.00046,23,4.523561956,2,4.5,0.49978448,L,T,T,0.02
5573,5573,multi-docker-build-0.7.1,1,5.00E-05,0.00046,1,0,2,4.5,0.831619344,H,T,T,0.02
5582,5582,systemrdl-compiler-1.25.6,4,6.50E-05,0.00046,4,2,2,4.5,0.713976796,H,T,T,0.02
5588,5588,pyppyn-0.5.5,2,4.50E-05,0.00046,2,1,2,4.5,0.63224805,H,T,T,0.02
5591,5591,cinderdiags-2.4.1,1,5.00E-05,0.00046,1,0,2,4.5,0.830632827,H,T,T,0.02
5592,5592,python-barbicanclient-5.5.0,8,5.00E-05,0.00046,66,6.044394119,2,4.5,0.558923516,H,T,T,0.02
5594,5594,splinter-0.19.0,2,4.10E-05,0.00046,13,3.700439718,2,4.5,0.61369574,H,T,T,0.02
5596,5596,cef-0.5,1,5.00E-05,0.00046,1,0,2,4.5,0.671641247,H,T,T,0.02
5599,5599,stripe-2.76.0,2,4.10E-05,0.00046,28,4.807354922,2,4.5,0.583135689,H,T,T,0.02
5601,5601,gentoopm-0.5.0,1,6.50E-05,0.00046,1,0,2,4.5,0.671641247,H,T,T,0.02
5606,5606,hbmqtt-0.9.6,6,6.50E-05,0.00046,12,3.584962501,2,4.5,0.610006725,H,T,T,0.02
5609,5609,apscheduler-3.7.0,5,3.90E-05,0.00046,6,2.584962501,2,4.5,0.723216809,H,T,T,0.02
5610,5610,google-api-python-client-1.7.12,6,3.90E-05,0.00046,19,4.247927513,2,4.5,0.654472303,H,T,T,0.02
5611,5611,paramiko-2.10.6,5,3.90E-05,0.00046,8,3,2,4.5,0.669730769,H,T,T,0.02
5612,5612,python-heatclient-1.18.1,15,3.90E-05,0.00046,81,6.339850003,2,4.5,0.671641247,H,T,T,0.02
5613,5613,python-keystoneclient-3.21.0,11,3.90E-05,0.00046,54,5.754887502,2,4.5,0.671641247,H,T,T,0.02
5614,5614,python-novaclient-15.1.1,11,3.90E-05,0.00046,53,5.727920455,2,4.5,0.671641247,H,T,T,0.02
5615,5615,tenacity-7.0.0,2,3.90E-05,0.00046,2,1,2,4.5,0.650759763,H,T,T,0.02
5627,5627,p2api-1.0.5,3,4.50E-05,0.00046,39,5.285402219,2,4.5,0.846704686,H,T,T,0.02
5636,5636,pydantic-1.4,1,5.00E-05,0.00046,1,0,2,4.5,0.613224668,H,T,T,0.02
5640,5640,fgame-0.6.5,4,4.50E-05,0.00046,7,2.807354922,2,4.5,0.671641247,H,T,T,0.02
5645,5645,go-api-0.3.1,5,4.20E-05,0.00046,48,5.584962501,2,4.5,0.804573859,H,T,T,0.02
5650,5650,google-cloud-secret-manager-2.16.1,5,3.80E-05,0.00046,52,5.700439718,2,4.5,0.757513973,H,T,T,0.02
5654,5654,colorama-0.3.3,1,4.50E-05,0.00046,1,0,2,4.5,0.608161838,H,T,T,0.02
5664,5664,js-classy-1.4,3,4.00E-05,0.00046,4,2,2,4.5,0.671641247,H,T,T,0.02
5665,5665,js-jquery-3.6.1,3,4.00E-05,0.00046,4,2,2,4.5,0.671641247,H,T,T,0.02
5666,5666,js-knockout-3.1.0,3,4.00E-05,0.00046,4,2,2,4.5,0.671641247,H,T,T,0.02
5668,5668,efel-4.1.91,3,5.00E-05,0.00046,3,1.584962501,2,4.5,0.568020672,H,T,T,0.02
5672,5672,requests-2.8.1,1,5.00E-05,0.00046,1,0,2,4.5,0.515598341,H,T,T,0.02
5676,5676,rbtools-4.0,8,6.50E-05,0.00046,8,3,2,4.5,0.667311046,H,T,T,0.02
5683,5683,opencc-python-reimplemented-0.1.7,1,3.70E-05,0.00046,1,0,2,4.5,0.781103202,H,T,T,0.02
5685,5685,pika-0.11.2,1,4.50E-05,0.00046,1,0,2,4.5,0.538071056,H,T,T,0.02
5688,5688,sigparse-3.0.0,1,5.00E-05,0.00046,1,0,2,4.5,0.747314775,H,T,T,0.02
5690,5690,geoliberator-0.3.7,1,4.50E-05,0.00046,1,0,2,4.5,0.671641247,H,T,T,0.02
5691,5691,pyppdf-0.1.2,6,4.50E-05,0.00046,26,4.700439718,2,4.5,0.847800237,H,T,T,0.02
5701,5701,httpsig-cffi-15.0.0,3,4.20E-05,0.00046,6,2.584962501,2,4.5,0.805180128,H,T,T,0.02
5703,5703,bg-1.10,13,4.20E-05,0.00046,48,5.584962501,2,4.5,0.693591019,H,T,T,0.02
5705,5705,gos-0.9,1,4.20E-05,0.00046,1,0,2,4.5,0.694818296,H,T,T,0.02
5710,5710,apiclient-1.0.4,3,6.50E-05,0.00046,13,3.700439718,2,4.5,0.66256916,H,T,T,0.02
5716,5716,taperable-helix-0.8.17,1,6.50E-05,0.00046,1,0,2,4.5,0.758159326,H,T,T,0.02
5718,5718,htmllistparse-0.6.0,5,4.00E-05,0.00046,35,5.129283017,2,4.5,0.806083003,H,T,T,0.02
5723,5723,tornado-4.0.2,2,6.50E-05,0.00046,2,1,2,4.5,0.551278058,H,T,T,0.02
5727,5727,google-api-python-client-2.31.0,6,4.00E-05,0.00046,61,5.930737338,2,4.5,0.654472303,H,T,T,0.02
5728,5728,python-common-lib-1.0.6,13,4.00E-05,0.00046,109,6.768184325,2,4.5,0.719797103,H,T,T,0.02
5738,5738,feature-engine-1.6.0,6,3.80E-05,0.00046,31,4.95419631,2,4.5,0.742634461,H,T,T,0.02
5756,5756,googlecontroller-6,4,4.00E-05,0.00046,37,5.209453366,2,4.5,0.831436064,H,T,T,0.02
5766,5766,hedera-sdk-py-2.22.0,2,4.20E-05,0.00046,3,1.584962501,2,4.5,0.846671811,H,T,T,0.02
5771,5771,beautifultable-1.1.0,2,3.90E-05,0.00046,2,1,2,4.5,0.780372939,H,T,T,0.02
5772,5772,gpyopt-1.2.5,4,3.90E-05,0.00046,14,3.807354922,2,4.5,0.671641247,H,T,T,0.02
5773,5773,google-cloud-monitoring-2.14.2,4,3.80E-05,0.00046,51,5.672425342,2,4.5,0.743248382,H,T,T,0.02
5780,5780,django-extensions-3.1.1,1,3.70E-05,0.00046,1,0,2,4.5,0.764074554,H,T,T,0.02
5786,5786,python-logstash-async-2.5.0,4,5.00E-05,0.00046,36,5.169925001,2,4.5,0.75833664,H,T,T,0.02
5790,5790,socketcache-0.1.0,1,5.00E-05,0.00046,1,0,2,4.5,0.747391909,H,T,T,0.02
5792,5792,geomag-0.9.2015,1,4.10E-05,0.00046,1,0,2,4.5,0.671641247,H,T,T,0.02
5793,5793,pygeodesy-23.4.12,1,4.10E-05,0.00046,1,0,2,4.5,0.671641247,H,T,T,0.02
5795,5795,readgssi-0.0.21,10,4.10E-05,0.00046,71,6.14974712,2,4.5,0.79857939,H,T,T,0.02
5802,5802,rst2pdf-0.99,9,5.00E-05,0.00046,15,3.906890596,2,4.5,0.591518053,H,T,T,0.02
5808,5808,chevron-0.13.1,1,4.00E-05,0.00046,1,0,2,4.5,0.76550088,H,T,T,0.02
5809,5809,ecological-1.6.0,1,4.00E-05,0.00046,1,0,2,4.5,0.675333254,H,T,T,0.02
5814,5814,smbus-1.1.post2,1,5.00E-05,0.00046,1,0,2,4.5,0.671641247,H,T,T,0.02
5818,5818,mediapipe-0.8.10,7,4.50E-05,0.00046,33,5.044394119,2,4.5,0.74221309,H,T,T,0.02
5830,5830,lambda-requests-1.5,4,5.00E-05,0.00046,43,5.426264755,2,4.5,0.831368631,H,T,T,0.02
5837,5837,graphics-py-5.0.1.post1,1,5.00E-05,0.00046,1,0,2,4.5,0.671641247,H,T,T,0.02
5838,5838,trianglesolver-1.2,1,5.00E-05,0.00046,1,0,2,4.5,0.758290161,H,T,T,0.02
5842,5842,glim-0.11.2,3,4.10E-05,0.00046,3,1.584962501,2,4.5,0.806426122,H,T,T,0.02
5848,5848,aipy-3.0.5,7,3.70E-05,0.00046,37,5.209453366,2,4.5,0.763620667,H,T,T,0.02
5851,5851,linsolve-1.1.0,3,3.70E-05,0.00046,9,3.169925001,2,4.5,0.662710753,H,T,T,0.02
5857,5857,sigal-2.3,8,6.50E-05,0.00046,12,3.584962501,2,4.5,0.649138865,H,T,T,0.02
5862,5862,vlsirtools-3.0.1,4,4.50E-05,0.00046,14,3.807354922,2,4.5,0.725932542,H,T,T,0.02
5867,5867,pyecharts-2.0.3,4,4.50E-05,0.00046,9,3.169925001,2,4.5,0.74429607,H,T,T,0.02
5868,5868,google-auth-stubs-0.2.0,4,3.90E-05,0.00046,12,3.584962501,2,4.5,0.820801333,H,T,T,0.02
5871,5871,hypernetx-1.2.5,10,3.90E-05,0.00046,46,5.523561956,2,4.5,0.649221523,H,T,T,0.02
5879,5879,keep-2.10.1,5,3.80E-05,0.00046,37,5.209453366,2,4.5,0.781094885,H,T,T,0.02
5881,5881,jsoncodable-0.1.7,3,4.20E-05,0.00046,3,1.584962501,2,4.5,0.710526997,H,T,T,0.02
5883,5883,ksimpleapi-0.0.41,5,4.20E-05,0.00046,46,5.523561956,2,4.5,0.710118968,H,T,T,0.02
5892,5892,incremental-21.3.0,1,5.00E-05,0.00046,1,0,2,4.5,0.780077566,H,T,T,0.02
5897,5897,sigfig-1.3.2,2,4.00E-05,0.00046,2,1,2,4.5,0.745866671,H,T,T,0.02
5903,5903,aiohttp-swagger-1.0.15,5,4.20E-05,0.00046,21,4.392317423,2,4.5,0.784969669,H,T,T,0.02
5906,5906,sanction-0.4.1,1,6.50E-05,0.00046,1,0,2,4.5,0.800176685,H,T,T,0.02
5908,5908,flit-core-3.8.0,1,4.10E-05,0.00046,1,0,2,4.5,0.603833893,H,T,T,0.02
5914,5914,accel-0.2.1,2,4.10E-05,0.00046,2,1,2,4.5,0.695019473,H,T,T,0.02
5916,5916,ansicolors-1.1.8,1,3.70E-05,0.00046,1,0,2,4.5,0.820313733,H,T,T,0.02
5919,5919,mitmproxy-5.3.0,26,3.70E-05,0.00046,43,5.426264755,2,4.5,0.629930575,H,T,T,0.02
5921,5921,ya-aioclient-0.6.4,4,3.70E-05,0.00046,29,4.857980995,2,4.5,0.671641247,H,T,T,0.02
5940,5940,mono-require-0.1.1,1,4.20E-05,0.00046,1,0,2,4.5,0.832018152,H,T,T,0.02
5944,5944,influxdb-4.1.1,5,5.00E-05,0.00046,32,5,2,4.5,0.564366914,H,T,T,0.02
5945,5945,psutil-5.2.2,1,5.00E-05,0.00046,1,0,2,4.5,0.60049988,H,T,T,0.02
5947,5947,toolbox-1.10.0,1,6.50E-05,0.00046,1,0,2,4.5,0.758442066,H,T,T,0.02
5950,5950,lib5c-0.6.1,13,3.90E-05,0.00046,62,5.95419631,2,4.5,0.671641247,H,T,T,0.02
5960,5960,pytest-3.1.3,3,4.00E-05,0.00046,3,1.584962501,2,4.5,0.456905797,L,T,T,0.02
5963,5963,aiohttp-3.6.0,6,6.50E-05,0.00046,11,3.459431619,2,4.5,0.327320982,L,T,T,0.02
5965,5965,wavelink-2.1.0,4,4.50E-05,0.00046,27,4.754887502,2,4.5,0.670335089,H,T,T,0.02
5972,5972,pyu2f-0.1.5,2,6.50E-05,0.00046,2,1,2,4.5,0.774585189,H,T,T,0.02
5978,5978,inflection-0.2.0,1,4.50E-05,0.00046,1,0,2,4.5,0.770302658,H,T,T,0.02
5979,5979,marshmallow-0.5.2,1,4.50E-05,0.00046,1,0,2,4.5,0.675180959,H,T,T,0.02
5980,5980,schematics-0.9.post4,1,4.50E-05,0.00046,1,0,2,4.5,0.671641247,H,T,T,0.02
5983,5983,hamsterlib-0.1.0,4,3.90E-05,0.00046,10,3.321928095,2,4.5,0.664828249,H,T,T,0.02
5992,5992,ietfparse-1.9.0,1,5.00E-05,0.00046,1,0,2,4.5,0.810352141,H,T,T,0.02
5994,5994,graphql-core-next-1.0.0rc2,1,5.00E-05,0.00046,1,0,2,4.5,0.671641247,H,T,T,0.02
6007,6007,mingus-0.6.1,2,5.00E-05,0.00046,2,1,2,4.5,0.761858173,H,T,T,0.02
6010,6010,distlib-0.3.4,1,3.60E-05,0.00046,1,0,2,4.5,0.735784534,H,T,T,0.02
6011,6011,filelock-3.6.0,1,3.60E-05,0.00046,1,0,2,4.5,0.60816995,H,T,T,0.02
6012,6012,identify-2.5.0,1,3.60E-05,0.00046,1,0,2,4.5,0.565114526,H,T,T,0.02
6013,6013,importlib-resources-5.7.1,1,3.60E-05,0.00046,1,0,2,4.5,0.75712155,H,T,T,0.02
6016,6016,promisio-0.1.1,1,3.60E-05,0.00046,1,0,2,4.5,0.847641846,H,T,T,0.02
6017,6017,pyjwt-2.3.0,1,3.60E-05,0.00046,1,0,2,4.5,0.689097695,H,T,T,0.02
6018,6018,ramda-0.7.4,2,3.60E-05,0.00046,2,1,2,4.5,0.803934684,H,T,T,0.02
6019,6019,types-requests-2.27.25,2,3.60E-05,0.00046,2,1,2,4.5,0.546815019,H,T,T,0.02
6021,6021,typing-extensions-4.2.0,1,3.60E-05,0.00046,1,0,2,4.5,0.658811077,H,T,T,0.02
6028,6028,wos-0.2.7,3,3.80E-05,0.00046,3,1.584962501,2,4.5,0.73099289,H,T,T,0.02
6034,6034,a10-neutronclient-0.2.0,3,6.50E-05,0.00046,90,6.491853096,2,4.5,0.684797012,H,T,T,0.02
6046,6046,pymdown-extensions-7.1,2,4.00E-05,0.00046,2,1,2,4.5,0.608281121,H,T,T,0.02
6047,6047,typical-2.8.0,4,4.00E-05,0.00046,8,3,2,4.5,0.712081962,H,T,T,0.02
6051,6051,pip-deepfreeze-1.2.0,5,5.00E-05,0.00046,22,4.459431619,2,4.5,0.699381497,H,T,T,0.02
6053,6053,pyactiveresource-2.2.2,2,4.50E-05,0.00046,2,1,2,4.5,0.777673525,H,T,T,0.02
6056,6056,editdistance-0.6.2,1,3.60E-05,0.00046,1,0,2,4.5,0.56991935,H,T,T,0.02
6057,6057,pycorenlp-0.3.0,2,3.60E-05,0.00046,28,4.807354922,2,4.5,0.812601034,H,T,T,0.02
6058,6058,stanza-1.5.0,8,3.60E-05,0.00046,94,6.554588852,2,4.5,0.666195498,H,T,T,0.02
6060,6060,python-ffmpeg-2.0.4,3,3.90E-05,0.00046,3,1.584962501,2,4.5,0.789539167,H,T,T,0.02
6062,6062,abb-robot-client-0.2.0,8,4.50E-05,0.00046,43,5.426264755,2,4.5,0.710972828,H,T,T,0.02
6064,6064,grammarbot-0.2.0,2,5.00E-05,0.00046,28,4.807354922,2,4.5,0.820762563,H,T,T,0.02
6065,6065,hdx-python-database-1.2.3,4,4.00E-05,0.00046,15,3.906890596,2,4.5,0.694791266,H,T,T,0.02
6069,6069,binance-0.3,1,3.70E-05,0.00046,1,0,2,4.5,0.671641247,H,T,T,0.02
6071,6071,python-binance-1.0.17,8,3.70E-05,0.00046,58,5.857980995,2,4.5,0.560074237,H,T,T,0.02
6077,6077,detkit-0.2.1,6,3.90E-05,0.00046,69,6.108524457,2,4.5,0.846166365,H,T,T,0.02
6078,6078,imate-0.19.3,5,3.90E-05,0.00046,40,5.321928095,2,4.5,0.842453647,H,T,T,0.02
6079,6079,special-functions-0.2.3,1,3.90E-05,0.00046,1,0,2,4.5,0.756612023,H,T,T,0.02
6087,6087,strawberry-graphql-0.171.1,10,5.00E-05,0.00046,25,4.64385619,2,4.5,0.561858773,H,T,T,0.02
6094,6094,cdsapi-0.6.1,3,3.90E-05,0.00046,29,4.857980995,2,4.5,0.636426058,H,T,T,0.02
6095,6095,ecmwf-api-client-1.6.3,1,3.90E-05,0.00046,1,0,2,4.5,0.653340351,H,T,T,0.02
6100,6100,sphinx-1.8.6,13,4.20E-05,0.00046,43,5.426264755,2,4.5,0.46890645,L,T,T,0.02
6109,6109,sqlalchemy-1.4.0,2,3.80E-05,0.00046,2,1,2,4.5,0.223702889,L,T,T,0.02
6111,6111,frictionless-3.48.0,13,4.50E-05,0.00046,62,5.95419631,2,4.5,0.713074339,H,T,T,0.02
6113,6113,abstract-python-core-1.1.0,3,3.80E-05,0.00046,32,5,2,4.5,0.847596435,H,T,T,0.02
6115,6115,hdbcli-2.16.21,1,3.80E-05,0.00046,1,0,2,4.5,0.671641247,H,T,T,0.02
6119,6119,google-ads-21.0.0,10,3.90E-05,0.00046,65,6.022367813,2,4.5,0.747303509,H,T,T,0.02
