,Id,Label,Degree,Pageranks,Eigencentrality,Reachability,Log2_reach,R_Reachability,R_Log2_reach,RiskScore,Category,PR_Category,R_Category,R_Lo10_reach
6284,6284,tabula-1.0.5,3,4.10E-05,0.00046,3,1.584962501,2,4.5,0.758276883,H,T,T,0.02
6289,6289,magichttp-1.1.2,2,5.00E-05,0.00046,2,1,2,4.5,0.683739557,H,T,T,0.02
6291,6291,pynput-1.6.8,3,3.90E-05,0.00046,4,2,2,4.5,0.74489362,H,T,T,0.02
6294,6294,django-1.11.29,2,4.10E-05,0.00046,2,1,2,4.5,0.544936339,H,T,T,0.02
6295,6295,google-apputils-0.4.2,4,4.10E-05,0.00046,6,2.584962501,2,4.5,0.671641247,H,T,T,0.02
6298,6298,magic-wormhole-0.12.0,13,3.70E-05,0.00046,32,5,2,4.5,0.731956533,H,T,T,0.02
6299,6299,qt5reactor-0.6.3,2,3.70E-05,0.00046,23,4.523561956,2,4.5,0.790989168,H,T,T,0.02
6307,6307,cilog-1.2.3,4,3.70E-05,0.00046,15,3.906890596,2,4.5,0.847148818,H,T,T,0.02
6308,6308,gdown-4.4.0,6,3.70E-05,0.00046,34,5.087462841,2,4.5,0.761759001,H,T,T,0.02
6309,6309,ogb-1.3.3,9,3.70E-05,0.00046,99,6.62935662,2,4.5,0.626295379,H,T,T,0.02
6310,6310,pytest-xdist-2.5.0,4,3.70E-05,0.00046,20,4.321928095,2,4.5,0.575409876,H,T,T,0.02
6311,6311,sphinx-rtd-theme-1.0.0,3,3.70E-05,0.00046,47,5.554588852,2,4.5,0.629932229,H,T,T,0.02
6312,6312,tensorboard-2.8.0,14,3.70E-05,0.00046,59,5.882643049,2,4.5,0.568396287,H,T,T,0.02
6313,6313,typed-argument-parser-1.7.2,3,3.70E-05,0.00046,5,2.321928095,2,4.5,0.691677843,H,T,T,0.02
6330,6330,tabula-py-2.7.0,4,3.80E-05,0.00046,13,3.700439718,2,4.5,0.68959074,H,T,T,0.02
6337,6337,django-phonenumber-field-7.0.2,2,4.20E-05,0.00046,5,2.321928095,2,4.5,0.847617759,H,T,T,0.02
6340,6340,half-orm-0.7.5,3,4.20E-05,0.00046,3,1.584962501,2,4.5,0.674933267,H,T,T,0.02
6349,6349,rodi-2.0.2,1,6.50E-05,0.00046,1,0,2,4.5,0.798732958,H,T,T,0.02
6352,6352,setuptools-59.8.0,1,3.90E-05,0.00046,1,0,2,4.5,0.400968822,L,T,T,0.02
6354,6354,boolean-py-3.6,1,4.50E-05,0.00046,1,0,2,4.5,0.766707714,H,T,T,0.02
6355,6355,python-telegram-bot-13.15,6,4.50E-05,0.00046,11,3.459431619,2,4.5,0.655306268,H,T,T,0.02
6359,6359,hydrotools-events-1.1.5,2,4.20E-05,0.00046,12,3.584962501,2,4.5,0.798887077,H,T,T,0.02
6364,6364,cloup-2.0.0.post1,2,3.90E-05,0.00046,2,1,2,4.5,0.671641247,H,T,T,0.02
6367,6367,bytesparse-0.0.6,1,4.50E-05,0.00046,1,0,2,4.5,0.695107326,H,T,T,0.02
6369,6369,safe-eth-py-5.1.0,6,6.50E-05,0.00046,102,6.672425342,2,4.5,0.744480254,H,T,T,0.02
6379,6379,grapl-analyzerlib-0.2.72,5,3.80E-05,0.00046,7,2.807354922,2,4.5,0.60481232,H,T,T,0.02
6383,6383,tkf-0.0.4,16,6.50E-05,0.00046,18,4.169925001,2,4.5,0.758386198,H,T,T,0.02
6405,6405,flask-limiter-3.3.0,6,3.60E-05,0.00046,27,4.754887502,2,4.5,0.734536826,H,T,T,0.02
6408,6408,mohawk-1.1.0,2,5.00E-05,0.00046,2,1,2,4.5,0.783367965,H,T,T,0.02
6413,6413,raven-6.8.0,1,5.00E-05,0.00046,1,0,2,4.5,0.645435096,H,T,T,0.02
6416,6416,cosmology-2022.10.9,2,4.10E-05,0.00046,2,1,2,4.5,0.671641247,H,T,T,0.02
6417,6417,gaussiancl-2023.1,3,4.10E-05,0.00046,11,3.459431619,2,4.5,0.695175452,H,T,T,0.02
6429,6429,karateclub-1.2.3,13,4.10E-05,0.00046,133,7.055282436,2,4.5,0.783502866,H,T,T,0.02
6441,6441,tzdata-2022.7,1,4.50E-05,0.00046,1,0,2,4.5,0.744991043,H,T,T,0.02
6442,6442,gradio-3.27.0,27,6.50E-05,0.00046,147,7.199672345,2,4.5,0.54505163,H,T,T,0.02
6453,6453,gspread-5.7.2,3,5.00E-05,0.00046,47,5.554588852,2,4.5,0.831808055,H,T,T,0.02
6457,6457,earthscope-sdk-0.2.0,3,3.80E-05,0.00046,31,4.95419631,2,4.5,0.671641247,H,T,T,0.02
6460,6460,httpx-0.18.1,5,4.00E-05,0.00046,7,2.807354922,2,4.5,0.551984718,H,T,T,0.02
6464,6464,shift-0.0.4,1,5.00E-05,0.00046,1,0,2,4.5,0.773620611,H,T,T,0.02
6466,6466,display-timedelta-1.1,1,4.10E-05,0.00046,1,0,2,4.5,0.847863755,H,T,T,0.02
6468,6468,permacache-3.6.2,3,4.10E-05,0.00046,3,1.584962501,2,4.5,0.851092429,H,T,T,0.02
6471,6471,colorspacious-1.1.2,2,4.20E-05,0.00046,2,1,2,4.5,0.783931343,H,T,T,0.02
6481,6481,high-level-markov-logic-network-1.0.1,2,6.50E-05,0.00046,53,5.727920455,2,4.5,0.710984722,H,T,T,0.02
6490,6490,new-reader-0.1.7,1,6.50E-05,0.00046,1,0,2,4.5,0.847581823,H,T,T,0.02
6492,6492,gridx-egret-0.5.5,10,3.80E-05,0.00046,49,5.614709844,2,4.5,0.770082614,H,T,T,0.02
6505,6505,python-chess-1.999,2,6.50E-05,0.00046,2,1,2,4.5,0.722281143,H,T,T,0.02
6515,6515,dolfin-adjoint-2019.1.2,2,3.70E-05,0.00046,9,3.169925001,2,4.5,0.671641247,H,T,T,0.02
6516,6516,nlopt-2.7.1,2,3.70E-05,0.00046,2,1,2,4.5,0.68282207,H,T,T,0.02
6522,6522,hjson-3.0.2,1,5.00E-05,0.00046,1,0,2,4.5,0.75900903,H,T,T,0.02
6524,6524,srp-1.0.20,2,4.50E-05,0.00046,2,1,2,4.5,0.69565944,H,T,T,0.02
6528,6528,baize-0.20.3,1,4.50E-05,0.00046,1,0,2,4.5,0.679226558,H,T,T,0.02
6542,6542,slugify-0.0.1,1,6.50E-05,0.00046,1,0,2,4.5,0.758379771,H,T,T,0.02
6547,6547,logdna-1.18.6,2,4.00E-05,0.00046,28,4.807354922,2,4.5,0.760845455,H,T,T,0.02
6549,6549,sentry-sdk-0.6.9,3,4.00E-05,0.00046,13,3.700439718,2,4.5,0.597955601,H,T,T,0.02
6555,6555,click-option-group-0.5.3,2,4.20E-05,0.00046,2,1,2,4.5,0.786570262,H,T,T,0.02
6556,6556,iterm2-2.6,3,4.20E-05,0.00046,3,1.584962501,2,4.5,0.681393847,H,T,T,0.02
6558,6558,sidekick-0.8.2,2,5.00E-05,0.00046,2,1,2,4.5,0.757885466,H,T,T,0.02
6565,6565,pyqrcode-1.2.1,1,5.00E-05,0.00046,1,0,2,4.5,0.776339653,H,T,T,0.02
6570,6570,objc-types-decoder-0.0.4,1,3.80E-05,0.00046,1,0,2,4.5,0.671641247,H,T,T,0.02
6584,6584,easymodbussilaacooling-1.0.6,3,5.00E-05,0.00046,3,1.584962501,2,4.5,0.710847498,H,T,T,0.02
6588,6588,thefuzz-0.19.0,1,4.00E-05,0.00046,1,0,2,4.5,0.710795892,H,T,T,0.02
6590,6590,base-kivy-app-0.1.2,6,3.70E-05,0.00046,38,5.247927513,2,4.5,0.831807652,H,T,T,0.02
6593,6593,kivy-garden-collider-0.1.2,2,3.70E-05,0.00046,33,5.044394119,2,4.5,0.690287812,H,T,T,0.02
6594,6594,kivy-garden-graph-0.4.0,1,3.70E-05,0.00046,1,0,2,4.5,0.646272786,H,T,T,0.02
6595,6595,kivy-garden-painter-0.2.4,1,3.70E-05,0.00046,1,0,2,4.5,0.71093037,H,T,T,0.02
6596,6596,kivy-garden-tickmarker-3.0.1,2,3.70E-05,0.00046,33,5.044394119,2,4.5,0.673149815,H,T,T,0.02
6602,6602,xkbgroup-0.2.0,1,5.00E-05,0.00046,1,0,2,4.5,0.738420168,H,T,T,0.02
6608,6608,innerscope-0.5.1,2,4.20E-05,0.00046,2,1,2,4.5,0.694841899,H,T,T,0.02
6617,6617,executor-23.2,6,3.80E-05,0.00046,7,2.807354922,2,4.5,0.657988359,H,T,T,0.02
6623,6623,jaxkern-0.0.5,7,3.80E-05,0.00046,36,5.169925001,2,4.5,0.671641247,H,T,T,0.02
6636,6636,socket-tentacles-0.0.9,1,4.50E-05,0.00046,1,0,2,4.5,0.75829686,H,T,T,0.02
6638,6638,pymodbus-3.1.3,1,4.20E-05,0.00046,1,0,2,4.5,0.639758557,H,T,T,0.02
6640,6640,cloudpickle-1.2.2,1,4.00E-05,0.00046,1,0,2,4.5,0.729166061,H,T,T,0.02
6641,6641,phreeqpython-1.5.0,3,4.00E-05,0.00046,11,3.459431619,2,4.5,0.663696718,H,T,T,0.02
6646,6646,aioboto3-6.4.1,2,3.90E-05,0.00046,38,5.247927513,2,4.5,0.756563698,H,T,T,0.02
6648,6648,dill-0.3.1.1,1,3.90E-05,0.00046,1,0,2,4.5,0.875266364,H,T,T,0.02
6649,6649,lz4-2.2.1,1,3.90E-05,0.00046,1,0,2,4.5,0.830826478,H,T,T,0.02
6651,6651,openpyxl-3.0.2,3,3.90E-05,0.00046,3,1.584962501,2,4.5,0.671641247,H,T,T,0.02
6657,6657,bael-project-0.2.7,3,4.50E-05,0.00046,15,3.906890596,2,4.5,0.671641247,H,T,T,0.02
6661,6661,rackspace-monitoring-0.8.1,3,4.20E-05,0.00046,3,1.584962501,2,4.5,0.627839247,H,T,T,0.02
6669,6669,semver-3.0.0.dev3,1,3.90E-05,0.00046,1,0,2,4.5,0.671641247,H,T,T,0.02
6674,6674,pyftpdlib-1.5.7,1,4.10E-05,0.00046,1,0,2,4.5,0.756588673,H,T,T,0.02
6683,6683,avro-1.11.1,1,3.60E-05,0.00046,1,0,2,4.5,0.519627176,H,T,T,0.02
6684,6684,bokeh-1.4.0,9,3.60E-05,0.00046,12,3.584962501,2,4.5,0.585996621,H,T,T,0.02
6685,6685,humanize-1.1.0,1,3.60E-05,0.00046,1,0,2,4.5,0.581137313,H,T,T,0.02
6687,6687,scipy-1.9.3,2,3.60E-05,0.00046,2,1,2,4.5,0.337577653,L,T,T,0.02
6705,6705,spacy-lookups-data-1.0.3,2,4.10E-05,0.00046,2,1,2,4.5,0.556411358,H,T,T,0.02
6710,6710,sktime-0.17.1,7,3.90E-05,0.00046,26,4.700439718,2,4.5,0.575780156,H,T,T,0.02
6719,6719,py-itree-0.0.19,1,3.90E-05,0.00046,1,0,2,4.5,0.671641247,H,T,T,0.02
6725,6725,libpysal-4.7.0,9,4.50E-05,0.00046,53,5.727920455,2,4.5,0.741479444,H,T,T,0.02
6728,6728,stups-zign-1.2,6,5.00E-05,0.00046,34,5.087462841,2,4.5,0.70555011,H,T,T,0.02
6733,6733,hist-2.6.3,8,4.00E-05,0.00046,39,5.285402219,2,4.5,0.635392726,H,T,T,0.02
