Id,Label,Degree,Pageranks,Eigencentrality,Package,FinalRiskScore,In_reach,Agg_RS,Agg_RS20,Agg_RS30,Agg_RS50,Agg_vs_RS,Agg_RS20_vs_RS,Agg_RS30_vs_RS,Agg_RS50_vs_RS,Ag_vs_RS_ratio
3270,nox-2022.11.21,6,4.40E-05,0.00091,nox,0.721001077,10,6.554996631,6.554996631,6.554996631,6.554996631,9.091521275,9.091521275,9.091521275,9.091521275,9.091521275
1137,radio-beam-0.3.4,5,4.10E-05,0.0005,radio-beam,0.671641247,15,6.11294292,6.11294292,4.025791664,3.218111432,9.101500164,9.101500164,5.993961333,4.791414235,9.101500164
3267,fhir-resources-6.0.0,2,4.50E-05,0.00046,fhir-resources,0.785664653,11,7.161866993,7.161866993,7.161866993,7.161866993,9.115679273,9.115679273,9.115679273,9.115679273,9.115679273
5772,gpyopt-1.2.5,4,3.90E-05,0.00046,gpyopt,0.671641247,14,6.12416754,6.12416754,4.297910191,3.556425719,9.11821239,9.11821239,6.399115912,5.295127026,9.11821239
7215,pytest-mocha-0.4.0,3,4.00E-05,0.00048,pytest-mocha,0.81202705,12,7.405148843,7.405148843,7.405148843,6.948243046,9.119337642,9.119337642,9.119337642,8.556664518,9.119337642
790,hypers-0.1.1,5,3.50E-05,0,hypers,0.67512314,14,6.158477821,6.158477821,4.332220472,3.994642819,9.122006722,9.122006722,6.416933764,5.916909942,9.122006722
9309,harvest-vocab-2.0.4,1,3.50E-05,0,harvest-vocab,0.822471798,10,7.504244048,7.504244048,7.504244048,7.504244048,9.124013816,9.124013816,9.124013816,9.124013816,9.124013816
10255,grifter-0.2.11,4,3.50E-05,0,grifter,0.820612311,10,7.488596354,7.488596354,7.488596354,7.087627532,9.125620288,9.125620288,9.125620288,8.636998784,9.125620288
3045,black-23.3.0,20,0.000144,0.00649,black,0.502538595,7,4.587858125,4.587858125,4.587858125,4.587858125,9.129364731,9.129364731,9.129364731,9.129364731,9.129364731
5337,black-23.1.0,7,4.20E-05,0.00046,black,0.502538595,7,4.587858125,4.587858125,4.587858125,4.587858125,9.129364731,9.129364731,9.129364731,9.129364731,9.129364731
3628,pep8-naming-0.11.1,2,3.60E-05,0.00046,pep -naming,0.747201585,9,6.827750197,6.827750197,6.827750197,6.827750197,9.137761929,9.137761929,9.137761929,9.137761929,9.137761929
