Package,Overall,FinalRiskScore,Score
jupyter-events,0.0,0.632209011,88
torch,0.0,0.304238481,94
execnet,0.0,0.610734503,88
selenium,0.0,0.528159757,97
docopt,0.0,0.754159481,76
unidecode,0.0,0.742305746,87
retrying,0.0,0.646692633,72
jupyter-server-terminals,0.0,0.647333286,85
thrift,0.0,0.671641247,90
python-gnupg,0.0,0.619213378,85
trio-websocket,0.0,0.707302245,91
shap,0.0,0.616125903,88
accelerate,0.0,0.713698991,100
coloredlogs,0.0,0.764199309,77
wandb,0.0,0.594134573,88
fire,0.0,0.731770395,91
slicer,0.0,0.747265624,68
kfp,0.0,0.508586883,85
validators,0.0,0.670220531,91
holidays,0.0,0.674455247,97
kfp-server-api,0.0,0.64032791,91
pycountry,0.0,0.619416466,73
avro,0.0,0.519627176,93
flask-sqlalchemy,0.0,0.554159994,97
xlwt,0.0,0.671641247,65
qtconsole,0.0,0.696463892,91
lit,0.0,0.553132475,94
langchain,0.0,0.544157107,88
wasabi,0.0,0.700858514,83
nose,0.0,0.740284046,82
triton,0.0,0.758421019,94
hatchling,0.0,0.631612884,91
jupyter-console,0.0,0.671641247,85
botocore-stubs,0.0,0.819958265,78
torchmetrics,0.0,0.594496058,100
python-levenshtein,0.0,0.830421152,84
nbclassic,0.0,0.659664648,83
lazy-loader,0.0,0.668272452,85
dpath,0.0,0.622379151,83
ninja,0.0,0.831989329,82
ratelimit,0.0,0.663913118,76
timm,0.0,0.644940361,82
types-awscrt,0.0,0.758317198,75
confection,0.0,0.794639802,82
onnxruntime,0.0,0.465059418,91
lightning-utilities,0.0,0.768686476,79
asyncio,0.0,0.847593079,61
cachelib,0.0,0.636127403,87
promise,0.0,0.765197434,73
pydub,0.0,0.671641247,76
tensorflow-metadata,0.0,0.745719297,82
cramjam,0.0,0.650801784,79
maxminddb,0.0,0.746547134,85
cloudevents,0.0,0.77659522,88
tiktoken,0.0,0.671641247,82
supervisor,0.0,0.618062041,82
hdfs,0.0,0.770193122,82
funcsigs,0.0,0.644259802,73
pyhive,0.0,0.749354267,85
elastic-transport,0.0,0.699022907,82
sentence-transformers,0.0,0.639837081,71
ml-dtypes,0.0,0.671641247,85
pypandoc,0.0,0.726874952,84
flask-session,0.0,0.793616364,77
pypika,0.0,0.74549582,78
python-swiftclient,0.0,0.518225382,86
youtube-dl,0.0,0.523191372,80
hijri-converter,0.0,0.675220291,79
looker-sdk,0.0,0.601524518,90
pyhocon,0.0,0.724728534,71
cmaes,0.0,0.934951794,73
gcloud,0.0,0.492225148,79
rasterio,0.0,0.589463987,91
opentracing,0.0,0.754787866,61
cftime,0.0,0.734681268,63
grpclib,0.0,0.642208289,81
pypdf,0.0,0.690325876,94
dynaconf,0.0,0.701653788,94
bottle,0.0,0.671641247,77
sphinxcontrib-jquery,0.0,0.671641247,66
googlemaps,0.0,0.585005615,83
pyudev,0.0,0.743294627,80
affine,0.0,0.769111939,72
hyperopt,0.0,0.671641247,64
kaleido,0.0,0.661613458,61
fakeredis,0.0,0.568839858,90
pynamodb,0.0,0.569020768,88
pandas-stubs,0.0,0.7327558,88
webob,0.0,0.632476384,77
timeout-decorator,0.0,0.704842602,61
sphinx-autodoc-typehints,0.0,0.657330567,88
jsonmerge,0.0,0.800465581,73
fake-useragent,0.0,0.655140918,88
paho-mqtt,0.0,0.671641247,73
msgpack-python,0.0,0.671641247,67
dockerpty,0.0,0.77521473,61
click-default-group,0.0,0.799949211,80
rx,0.0,0.833949392,70
flatten-json,0.0,0.766573887,61
dash-core-components,0.0,0.694344765,67
dash-table,0.0,0.564509524,69
duckdb,0.0,0.632121447,94
jwcrypto,0.0,0.612471226,80
appium-python-client,0.0,0.643160688,91
aiohttp-cors,0.0,0.632374749,64
autoflake,0.0,0.759972728,88
array-record,0.0,0.805042113,85
peppercorn,0.0,0.786901741,61
cliff,0.0,0.591782514,76
fasttext,0.0,0.596459262,67
phik,0.0,0.784103622,63
svglib,0.0,0.674893175,77
gpustat,0.0,0.764192151,82
orbax-checkpoint,0.0,0.671641247,87
olefile,0.0,0.761452775,58
pydispatcher,0.0,0.684642318,63
dj-database-url,0.0,0.591268663,91
zeroconf,0.0,0.700618281,88
bitsandbytes,0.0,0.628440887,89
palettable,0.0,0.671641247,80
jsonpath-rw,0.0,0.772896934,61
fpdf,0.0,0.773364021,61
intervaltree,0.0,0.770199567,64
construct,0.0,0.671641247,67
pystache,0.0,0.753531244,79
simple-websocket,0.0,0.746999869,82
pyusb,0.0,0.671641247,68
evaluate,0.0,0.576360304,83
autobahn,0.0,0.555220871,83
googleads,0.0,0.769925108,88
deepmerge,0.0,0.66495816,68
requests-cache,0.0,0.587670809,91
nox,0.0,0.721001077,89
mongoengine,0.0,0.780728663,86
odfpy,0.0,0.63417374,64
jupyter-ydoc,0.0,0.644051039,85
hatch,0.0,0.63175841,80
pdfkit,0.0,0.751340945,67
click-help-colors,0.0,0.653581377,79
crccheck,0.0,0.694356923,63
hnswlib,0.0,0.625238198,78
naked,0.0,0.809601718,66
robotframework-jsonlibrary,0.0,0.671641247,61
sktime,0.0,0.575780156,94
sqlparams,0.0,0.737918625,63
ortools,0.0,0.656120218,97
moviepy,0.0,0.671870351,68
slacker,0.0,0.674742393,61
pyautogui,0.0,0.748294052,74
pyscreeze,0.0,0.776258033,70
anytree,0.0,0.761463061,77
paste,0.0,0.72958386,79
halo,0.0,0.755382427,67
validate-email,0.0,0.710492295,61
ml-collections,0.0,0.767074014,70
ypy-websocket,0.0,0.716770039,79
plaid-python,0.0,0.734141695,88
jupyter-server-ydoc,0.0,0.627052631,77
pytweening,0.0,0.812711999,71
jupyter-server-fileid,0.0,0.671641247,67
editorconfig,0.0,0.615175815,70
fixtures,0.0,0.774022454,74
frictionless,0.0,0.713074339,94
webtest,0.0,0.671641247,68
polyline,0.0,0.92683997,79
oci,0.0,0.733354928,90
rauth,0.0,0.595276741,61
jsbeautifier,0.0,0.671641247,80
clickhouse-sqlalchemy,0.0,0.748416767,82
scikit-optimize,0.0,0.585938872,64
luigi,0.0,0.505522647,91
pydata-sphinx-theme,0.0,0.580181534,88
googletrans,0.0,0.623037385,61
awslambdaric,0.0,0.640042858,90
google-cloud-profiler,0.0,0.657392911,79
clang-format,0.0,0.414793486,79
yattag,0.0,0.704894218,68
hypercorn,0.0,0.745799687,80
crontab,0.0,0.789486779,62
venusian,0.0,0.68258844,72
httpretty,0.0,0.717177621,64
stdlib-list,0.0,0.709881516,76
looseversion,0.0,0.831780352,65
jupyter-contrib-nbextensions,0.0,0.708736527,74
robotframework-pabot,0.0,0.740450452,77
flasgger,0.0,0.581814652,83
gym,0.0,0.678585024,71
ibm-cloud-sdk-core,0.0,0.773854637,85
spacy-transformers,0.0,0.554498727,76
statistics,0.0,0.758331329,72
pyenchant,0.0,0.736753034,65
gymnasium,0.0,0.515667102,93
easydict,0.0,0.654653041,59
pyviz-comms,0.0,0.760711599,79
simpervisor,0.0,0.725931714,73
pydrive,0.0,0.747704527,61
fortnitepy,0.0,0.666419475,74
gnupg,0.0,0.589732133,64
grimp,0.0,0.664988017,76
libsass,0.0,0.666341024,83
plaster,0.0,0.805602846,76
undetected-chromedriver,0.0,0.711254512,79
ipfshttpclient,0.0,0.621951575,72
pyfcm,0.0,0.746546735,65
mobly,0.0,0.726498384,87
pytest-doctestplus,0.0,0.744036139,75
ptvsd,0.0,0.562451143,64
asyncache,0.0,0.648475634,83
pyactiveresource,0.0,0.777673525,60
pyngrok,0.0,0.794940387,81
python-semantic-release,0.0,0.700979631,90
google-cloud-run,0.0,0.811894152,81
marisa-trie,0.0,0.760984632,82
farama-notifications,0.0,0.671641247,62
capstone,0.0,0.671641247,88
typed-argument-parser,0.0,0.691677843,72
flask-testing,0.0,0.738015415,60
xdg,0.0,0.724557075,71
django-autocomplete-light,0.0,0.69239186,82
accessible-pygments,0.0,0.683862722,68
pymodbus,0.0,0.639758557,85
nextcord,0.0,0.518066187,90
sphinx-gallery,0.0,0.638823712,81
djangorestframework-camel-case,0.0,0.753477442,72
wikipedia,0.0,0.68507862,61
linear-operator,0.0,0.745780557,84
apeye-core,0.0,0.684121949,68
sphinx-click,0.0,0.677831262,78
deap,0.0,0.747553457,80
hyperpyyaml,0.0,0.83650795,76
httpie-edgegrid,0.0,0.77332306,75
gptcache,0.0,0.671641247,85
shodan,0.0,0.67806785,80
quart,0.0,0.723243815,87
kaggle,0.0,0.754869091,86
tracerite,0.0,0.671641247,63
pandoc,0.0,0.673691053,62
feature-engine,0.0,0.742634461,82
copier,0.0,0.723448927,85
jaxtyping,0.0,0.794406865,85
google-search-results,0.0,0.780160158,74
vobject,0.0,0.674890024,60
dbus-fast,0.0,0.642201275,76
ebooklib,0.0,0.613535185,72
python-whois,0.0,0.739410472,60
zmq,0.0,0.616716589,69
clvm-tools-rs,0.0,0.63244418,76
events,0.0,0.651184651,74
skyfield,0.0,0.668021122,65
pyshorteners,0.0,0.75931611,60
pytools,0.0,0.812442757,77
impacket,0.0,0.833352061,88
scikit-surprise,0.0,0.747884945,65
gluonts,0.0,0.567195481,87
graphql-server-core,0.0,0.765123844,64
hera,0.0,0.831976837,87
hvplot,0.0,0.601694916,79
textual,0.0,0.645770809,90
spglib,0.0,0.630772396,84
flex,0.0,0.7439606,60
chameleon,0.0,0.720923782,81
django-haystack,0.0,0.688572416,74
posix-ipc,0.0,0.797829208,65
traceml,0.0,0.646818268,75
datatile,0.0,0.856778149,66
simpy,0.0,0.717180499,74
recordclass,0.0,0.671641247,70
pymediainfo,0.0,0.76920818,65
flask-graphql,0.0,0.774780683,61
uhashring,0.0,0.716611056,65
sphinxcontrib-napoleon,0.0,0.493103644,72
pilkit,0.0,0.632809069,78
anndata,0.0,0.619064236,87
moz-sql-parser,0.0,0.61673699,60
internetarchive,0.0,0.59202748,82
asyncua,0.0,0.706856141,85
laspy,0.0,0.590745689,84
sudachidict-full,0.0,0.70748233,77
pymoo,0.0,0.671641247,68
clint,0.0,0.597938569,60
googlesearch-python,0.0,0.67852155,66
stem,0.0,0.671641247,78
contextily,0.0,0.760495787,81
pingouin,0.0,0.74656162,74
feedgen,0.0,0.671641247,61
zodb,0.0,0.644022088,70
networkit,0.0,0.671641247,80
grpc-requests,0.0,0.667912832,73
vispy,0.0,0.583613367,93
psygnal,0.0,0.787258229,76
jsonrpcclient,0.0,0.77197648,68
hatch-nodejs-version,0.0,0.6627666,76
pyld,0.0,0.763935796,67
dgl,0.0,0.633824364,85
keystonemiddleware,0.0,0.671641247,85
gpy,0.0,0.590372152,82
python-barbicanclient,0.0,0.558923516,78
findlibs,0.0,0.66309125,65
pyasn,0.0,0.774367131,76
eccodes,0.0,0.629899084,76
nipype,0.0,0.763823413,80
docopt-ng,0.0,0.744474024,82
hacking,0.0,0.583187637,84
openslide-python,0.0,0.790497792,79
ics,0.0,0.742569421,71
xblock,0.0,0.648798271,72
superqt,0.0,0.699630808,84
spacy-lookups-data,0.0,0.556411358,71
hdijupyterutils,0.0,0.625086798,82
quantities,0.0,0.73627472,71
web-fragments,0.0,0.691291571,78
polyglot,0.0,0.755000573,64
pyopencl,0.0,0.661513932,79
python-intercom,0.0,0.75931312,58
guessit,0.0,0.752072344,77
lazy-imports,0.0,0.710952036,68
django-tastypie,0.0,0.692087643,90
eel,0.0,0.627951552,68
httpbin,0.0,0.578815096,84
timing-asgi,0.0,0.671641247,71
python-gettext,0.0,0.810067186,62
horovod,0.0,0.555427699,85
sigfig,0.0,0.745866671,70
earthengine-api,0.0,0.671641247,86
casadi,0.0,0.671641247,76
async-upnp-client,0.0,0.75250062,78
hdx-python-country,0.0,0.668818858,76
hdx-python-utilities,0.0,0.668477021,74
libhxl,0.0,0.652071337,70
aiohttp-client-cache,0.0,0.636301679,81
colourmap,0.0,0.847073608,61
healpy,0.0,0.574886053,81
fanstatic,0.0,0.625700035,75
adafruit-blinka,0.0,0.70691724,87
daiquiri,0.0,0.774508445,60
powerline-status,0.0,0.545265131,69
gpt-index,0.0,0.588089183,81
bibtexparser,0.0,0.744614387,87
grad-cam,0.0,0.771768214,74
adafruit-platformdetect,0.0,0.713165582,84
python-jsonschema-objects,0.0,0.671641247,78
magicgui,0.0,0.755689243,81
dowhy,0.0,0.587850513,85
leidenalg,0.0,0.64594811,76
geemap,0.0,0.742363633,90
xds-protos,0.0,0.649163248,93
mpire,0.0,0.667873806,78
