Package,Overall,FinalRiskScore,Score
schedule,4.35,0.732649945,88
vcrpy,4.35,0.633406315,92
social-auth-core,4.35,0.588118664,88
logzio-python-handler,4.35,0.627018576,79
gpytorch,4.35,0.576617002,87
zodbpickle,4.35,0.672341041,75
trove-classifiers,4.32,0.658613992,94
contourpy,4.32,0.805287543,82
jsonpath-ng,4.32,0.760811564,88
xlsxwriter,4.32,0.659347157,91
typer,4.32,0.675640048,87
cmake,4.32,0.716892593,91
sympy,4.32,0.49260513,87
graphviz,4.32,0.756550078,84
xxhash,4.32,0.664263419,82
uamqp,4.32,0.64087855,91
uvloop,4.32,0.64213083,84
flask-wtf,4.32,0.835963535,94
flask-appbuilder,4.32,0.663991676,97
marshmallow-sqlalchemy,4.32,0.740306926,89
flask-jwt-extended,4.32,0.718552672,88
wtforms,4.32,0.63113018,86
pytest-forked,4.32,0.770386626,79
mkdocs-material,4.32,0.50092197,97
limits,4.32,0.751251346,82
cmdstanpy,4.32,0.624177374,88
flask-limiter,4.32,0.734536826,88
xyzservices,4.32,0.690463535,85
mizani,4.32,0.788268256,73
beartype,4.32,0.904460796,83
pytest-repeat,4.32,0.768287215,85
argh,4.32,0.738019344,82
torchtext,4.32,0.609479639,97
sqlmodel,4.32,0.659033547,70
htmldate,4.32,0.626770398,85
janus,4.32,0.761251723,67
reportportal-client,4.32,0.605026289,79
botorch,4.32,0.582771366,87
awsiotpythonsdk,4.32,0.671641247,68
aiostream,4.32,0.789863841,82
mwparserfromhell,4.32,0.749454352,79
django-graphql-jwt,4.32,0.625634757,80
pywatchman,4.32,0.667936866,71
emcee,4.32,0.589500111,74
python-liquid,4.32,0.673379394,76
mplhep,4.32,0.747692588,84
asyncer,4.32,0.784077794,72
treq,4.32,0.668630647,71
nilearn,4.32,0.665017193,84
exceptiongroup,4.3,0.673229313,79
gevent,4.3,0.671641247,94
bitarray,4.3,0.7221639,91
levenshtein,4.3,0.739885675,81
hyperlink,4.3,0.759290388,73
diskcache,4.3,0.75220722,85
waitress,4.3,0.663899421,87
python-rapidjson,4.3,0.718298947,85
pooch,4.3,0.880708662,83
pymisp,4.3,0.565244127,85
pulp,4.3,0.735791713,83
bottleneck,4.3,0.735679345,72
google-cloud-error-reporting,4.3,0.74219665,81
apsw,4.3,0.775514742,79
mujoco,4.3,0.748819169,88
django-money,4.3,0.710329758,82
altair,4.27,0.690604046,100
pygithub,4.27,0.784472875,94
pywavelets,4.27,0.681690973,87
django-cors-headers,4.27,0.723475437,91
flit-core,4.27,0.603833893,89
whitenoise,4.27,0.65024614,88
sqlglot,4.27,0.6424497,88
uritools,4.27,0.733027542,76
kivy,4.27,0.614348902,90
py-dmidecode,4.27,0.691359394,70
pot,4.27,0.590622189,78
tomlkit,4.24,0.675941815,88
transformers,4.24,0.51401099,94
opt-einsum,4.24,0.618172373,79
apscheduler,4.24,0.723216809,91
userpath,4.24,0.671641247,79
lru-dict,4.24,0.641359104,77
pyinstrument,4.24,0.625187097,85
wmctrl,4.24,0.725845727,73
brotlipy,4.24,0.75907948,63
python-hosts,4.24,0.782704091,76
mnemonic,4.24,0.774347233,67
tortoise-orm,4.24,0.632966091,93
scrapyd,4.24,0.669644926,82
glcontext,4.24,0.780989581,70
pyrsistent,4.22,0.717490926,84
google-pasta,4.22,0.778063716,82
cssselect,4.22,0.875578066,82
emoji,4.22,0.695140752,88
google-cloud-compute,4.22,0.765022492,88
geventhttpclient,4.22,0.671641247,82
google-cloud-ndb,4.22,0.743451966,90
hidapi,4.22,0.850504649,71
dulwich,4.19,0.607677935,100
debugpy,4.19,0.573260322,97
asgiref,4.19,0.718521638,93
opencv-python,4.19,0.562816875,88
gcsfs,4.19,0.720843684,91
opencv-python-headless,4.19,0.583489252,88
fastparquet,4.19,0.569384573,91
pymupdf,4.19,0.676604336,88
opencv-contrib-python,4.19,0.574190173,85
thefuzz,4.19,0.710795892,85
webargs,4.19,0.640026444,94
influxdb-client,4.19,0.613013027,82
opencv-contrib-python-headless,4.19,0.580549188,82
rotary-embedding-torch,4.19,0.831542925,74
libhoney,4.19,0.75014457,63
aws-lambda-typing,4.19,0.634773335,81
tqdm,4.16,0.619815336,96
decorator,4.16,0.7537292,78
mistune,4.16,0.743160829,88
stack-data,4.16,0.713045655,79
pika,4.16,0.538071056,96
gradio,4.16,0.54505163,97
google-cloud-kms,4.16,0.745625903,88
gradio-client,4.16,0.671641247,91
django-filter,4.16,0.670713345,91
flask-migrate,4.16,0.725324124,88
arpeggio,4.16,0.76073483,80
aiorwlock,4.16,0.774172918,67
distrax,4.16,0.768272104,81
graphene-django,4.16,0.676930227,93
sqlite-utils,4.16,0.672416575,85
dataset,4.16,0.724958615,80
traits,4.16,0.63681676,81
markdown-it-py,4.14,0.636462198,95
pyelftools,4.14,0.721939503,67
flower,4.14,0.543484244,82
xarray-einstats,4.14,0.738646245,77
django-celery-results,4.14,0.59225019,85
sparse,4.14,0.667185797,83
getmac,4.14,0.671641247,76
