Label,Pageranks
asyncio-3.4.3,0.000181
psycopg2-binary-2.9.6,0.000133
asn1crypto-1.5.1,0.000306
gitdb-4.0.10,0.001305
google-api-core-1.34.0,0.000181
uvloop-0.17.0,0.000115
iniconfig-2.0.0,0.000267
colorlog-6.7.0,0.000231
flake8-4.0.1,0.000355
webencodings-0.5.1,0.000535
graphene-3.2.2,0.000249
jsonpatch-1.32,0.000147
mpmath-1.3.0,0.00047
snowballstemmer-2.2.0,0.00014
markdown-it-py-2.2.0,0.000555
imagesize-1.4.1,0.0001
nbconvert-7.3.1,0.000106
grpcio-status-1.53.0,0.000209
google-cloud-core-2.3.2,0.000218
bottle-0.12.25,0.00025
attrs-19.1.0,0.000214
passlib-1.7.4,0.000139
sqlalchemy-1.3.24,0.000171
attrs-20.3.0,0.000206
fuzzywuzzy-0.18.0,0.000124
protobuf-4.21.12,0.000282
httpx-0.23.3,0.000253
boto3-1.26.113,0.000181
flask-cors-3.0.10,0.000114
persistent-5.0,0.000188
chardet-4.0.0,0.000164
pymysql-1.0.3,0.000132
virtualenv-20.21.0,0.000147
graphene-django-3.0.0,0.000236
jupyter-1.0.0,0.000131
aiosignal-1.3.1,0.000205
eth-utils-2.1.0,0.000222
requests-2.22.0,0.000142
botocore-1.29.115,0.000303
pyrsistent-0.19.3,0.000186
yarl-1.8.1,0.000198
pynacl-1.5.0,0.000319
python-dotenv-0.21.1,0.00025
bokeh-3.1.0,0.000124
alabaster-0.7.13,0.000097
hyperlink-21.0.0,0.000121
tables-3.8.0,0.000151
torch-1.13.1,0.000136
rasterio-1.3.6,0.000123
hy-0.26.0,0.000422
trio-0.22.0,0.000385
ipython-genutils-0.2.0,0.000095
pytz-2022.7.1,0.000179
gpxpy-1.5.0,0.000237
huggingface-hub-0.13.4,0.000113
argon2-cffi-21.3.0,0.000103
opentelemetry-instrumentation-0.27b0,0.000155
cytoolz-0.12.1,0.000262
multiprocess-0.70.14,0.000102
dateparser-1.1.8,0.000141
fake-useragent-1.1.3,0.000121
pyopengl-3.1.6,0.000148
zope-traversing-5.0,0.000082
nibabel-5.1.0,0.000099
twine-4.0.2,0.000113
configobj-5.0.8,0.000204
s3transfer-0.6.0,0.000357
typing-inspect-0.8.0,0.000245
uritemplate-3.0.1,0.000134
prettytable-0.7.2,0.000092
grpcio-status-1.47.0,0.0002
transformers-4.28.1,0.000119
guillotina-6.4.2,0.00022
mccabe-0.6.1,0.000326
protobuf-3.20.2,0.000258
grpcio-1.47.0,0.000251
hydra-core-1.3.2,0.000249
jaxlib-0.4.7,0.000109
requests-2.28.1,0.000129
pyqt5-sip-12.12.0,0.000353
cattrs-22.2.0,0.000164
rfc3986-1.5.0,0.000188
typeguard-3.0.2,0.000239
jsonschema-3.2.0,0.000106
pyramid-2.0.1,0.000228
aws-cdk-cx-api-1.198.1,0.0001
notebook-6.5.4,0.000181
scipy-1.7.3,0.000113
terminaltables-3.1.10,0.000142
requests-toolbelt-0.9.1,0.000105
et-xmlfile-1.1.0,0.000486
black-23.3.0,0.000144
einops-0.6.0,0.000224
urllib3-secure-extra-0.1.0,0.000523
fasteners-0.18,0.000116
opentelemetry-semantic-conventions-0.27b0,0.000168
furl-2.1.3,0.000097
requests-2.21.0,0.000192
cliff-4.2.0,0.000087
zope-proxy-5.0.0,0.00013
email-validator-1.3.1,0.00025
texttable-1.6.7,0.00024
eth-typing-2.3.0,0.000225
tomlkit-0.11.7,0.000106
setuptools-scm-7.1.0,0.000126
argcomplete-3.0.5,0.000124
netaddr-0.8.0,0.000139
click-6.7,0.000106
email-validator-2.0.0.post1,0.000265
distro-1.8.0,0.000159
send2trash-1.8.0,0.000076
configargparse-1.5.3,0.000096
azure-core-1.26.4,0.000161
pybind11-2.10.4,0.000197
termcolor-1.1.0,0.000154
mock-5.0.2,0.000104
yarl-1.1.1,0.000189
pycparser-2.21,0.002986
hat-util-0.5.10,0.000218
pytools-2022.1.14,0.00019
traits-6.4.1,0.000226
blessed-1.20.0,0.000218
wtforms-3.0.1,0.000102
jedi-0.18.2,0.000117
websockets-11.0.2,0.00015
traitlets-5.1.1,0.000171
bleach-6.0.0,0.000084
hat-aio-0.7.7,0.000118
sphinxcontrib-serializinghtml-1.1.5,0.000125
oslo-log-5.2.0,0.000074
zodb-5.8.0,0.000094
retry-0.9.2,0.00011
msgpack-python-0.5.6,0.000146
idna-2.8,0.000155
tldextract-3.4.0,0.000138
tinycss2-1.2.1,0.000131
schema-0.7.5,0.0001
requests-cache-1.0.1,0.000143
apscheduler-3.10.1,0.000102
sentry-sdk-1.19.1,0.000118
reprit-0.8.0,0.000196
btrees-5.0,0.000086
beautifulsoup4-4.9.3,0.000208
numpy-1.24.1,0.000192
pickleshare-0.7.5,0.000098
boto-2.49.0,0.000179
dataclasses-0.6,0.000155
jsonschema-4.4.0,0.000097
dm-tree-0.1.8,0.000088
protobuf-3.20.1,0.000244
pyparsing-2.4.7,0.000297
pypdf2-3.0.1,0.000085
pyglet-2.0.5,0.000116
tabulate-0.8.10,0.000124
anytree-2.8.0,0.00011
grpcio-status-1.48.2,0.000188
click-7.0,0.000133
hat-util-0.6.9,0.000164
click-plugins-1.1.1,0.000118
requests-2.18.4,0.000179
sh-2.0.3,0.000147
desert-2020.11.18,0.000116
service-identity-21.1.0,0.000118
networkx-2.6.3,0.00013
ligo-segments-1.4.0,0.000126
deepdiff-6.3.0,0.000081
cachecontrol-0.12.12,0.000092
python-levenshtein-0.20.9,0.0002
idna-3.3,0.000138
nvidia-cublas-cu11-11.10.3.66,0.000302
waitress-2.1.2,0.000095
flake8-3.9.0,0.000277
plum-dispatch-2.0.1,0.000115
semantic-version-2.10.0,0.000113
pathspec-0.11.1,0.000129
opentelemetry-api-1.17.0,0.00018
pytz-2018.9,0.000146
unicodecsv-0.14.1,0.000095
retrying-1.3.4,0.000141
mistune-2.0.5,0.000087
pyaml-21.10.1,0.00011
astor-0.8.1,0.000102
sphinxcontrib-devhelp-1.0.2,0.000083
sphinxcontrib-jsmath-1.0.1,0.000083
sphinxcontrib-qthelp-1.0.3,0.000083
globus-sdk-3.19.0,0.000187
python-jose-3.3.0,0.000142
python-magic-0.4.27,0.000111
shellingham-1.5.1,0.000189
geopy-2.3.0,0.000093
backcall-0.2.0,0.000092
tinydb-4.7.1,0.000132
grpcio-1.54.0,0.000127
logzero-1.7.0,0.000103
langdetect-1.0.9,0.00008
pip-23.0.1,0.000153
starlette-0.26.1,0.000158
pyyaml-5.1,0.000091
keystoneauth1-3.14.0,0.000065
requests-futures-1.0.0,0.000134
enum34-1.1.10,0.000119
incremental-22.10.0,0.000106
eth-typing-3.3.0,0.000186
html2text-2020.1.16,0.000101
aws-cdk-aws-kms-1.198.1,0.000068
matplotlib-inline-0.1.6,0.000095
multidict-4.7.6,0.000211
eth-hash-0.5.1,0.000197
requests-unixsocket-0.3.0,0.000092
pooch-1.7.0,0.000079
webcolors-1.13,0.000143
networkx-2.8,0.000114
aenum-3.1.12,0.000116
isort-5.12.0,0.000105
readchar-4.0.5,0.000126
types-requests-2.28.11.17,0.000083
boltons-23.0.0,0.000174
simpleeval-0.9.13,0.000088
xarray-2023.4.1,0.000116
autobahn-23.1.2,0.000104
path-py-12.5.0,0.000135
inflect-6.0.4,0.000106
cchardet-2.1.7,0.000094
pyquery-2.0.0,0.000177
humanfriendly-10.0,0.000276
httplib2-0.19.0,0.000172
protobuf-3.19.6,0.000181
structlog-23.1.0,0.000124
typer-0.4.2,0.000106
kivy-2.1.0,0.000216
urwid-2.1.2,0.00019
jsonpath-ng-1.5.3,0.000115
typing-extensions-4.4.0,0.00022
construct-2.10.68,0.000151
backends-1.5.3,0.000098
patsy-0.5.3,0.000085
flask-restful-0.3.9,0.000078
funcy-2.0,0.000083
opt-einsum-3.3.0,0.000112
pyerfa-2.0.0.3,0.000177
jsonpointer-2.3,0.000219
dash-2.9.3,0.000163
xlrd-1.2.0,0.000092
botocore-1.24.38,0.000091
colored-1.4.4,0.000107
hatchling-1.14.0,0.000227
pytest-7.3.0,0.000112
numexpr-2.8.4,0.000104
pywavelets-1.4.1,0.000112
hikari-2.0.0.dev118,0.000231
beautifulsoup4-4.11.1,0.000143
google-auth-oauthlib-0.4.6,0.000143
progressbar2-4.2.0,0.000086
httplib2-0.20.4,0.000166
beautifulsoup4-4.9.1,0.000169
future-0.16.0,0.000119
grpcio-1.54.0rc1,0.000177
jinja2-3.1.1,0.000074
ordered-set-4.1.0,0.000141
munch-2.5.0,0.000081
urllib3-1.26.9,0.000121
docutils-0.18.1,0.000121
django-3.2.18,0.000203
flatbuffers-23.3.3,0.000108
scikit-learn-1.1.3,0.000074
rfc3987-1.3.8,0.000115
pytest-cov-4.0.0,0.000093
adafruit-circuitpython-busdevice-5.2.4,0.000216
hat-json-0.5.17,0.000099
aiohttp-3.8.1,0.000121
text-unidecode-1.3,0.000317
gym-notices-0.0.8,0.00041
stringcase-1.2.0,0.000083
aniso8601-9.0.1,0.00017
email-validator-2.0.0,0.000253
aiohttp-3.7.4.post0,0.000128
pytest-5.0.1,0.00019
charset-normalizer-2.0.12,0.000166
rfc3339-validator-0.1.4,0.000103
lazy-object-proxy-1.9.0,0.000108
bitarray-2.7.3,0.000109
colour-0.1.5,0.000098
tornado-4.5.3,0.000139
scrypt-0.8.20,0.000058
async-timeout-3.0.1,0.000099
zope-i18n-5.0,0.000067
thrift-0.16.0,0.000144
qtconsole-5.4.2,0.000066
websockets-8.1,0.000092
nvidia-cuda-runtime-cu11-11.7.99,0.000119
nvidia-cudnn-cu11-8.5.0.96,0.000119
nvidia-cuda-nvrtc-cu11-11.7.99,0.000119
sphinxcontrib-applehelp-1.0.4,0.00008
sphinxcontrib-htmlhelp-2.0.1,0.00008
dulwich-0.21.3,0.000153
progress-1.6,0.000089
click-log-0.4.0,0.00008
setproctitle-1.3.2,0.000135
fs-2.4.16,0.000205
raven-6.10.0,0.000139
eth-utils-1.9.5,0.000123
falcon-3.1.1,0.000148
piexif-1.1.3,0.000109
qrcode-7.4.2,0.000095
lz4-4.3.2,0.000072
numpy-1.23.0,0.000133
diskcache-5.5.1,0.000112
dendropy-4.5.2,0.000083
glue-core-1.9.1,0.000119
requests-2.24.0,0.000114
gdown-4.7.1,0.000103
networkx-2.8.8,0.000087
folium-0.14.0,0.000066
gensim-4.3.1,0.000063
hug-2.6.1,0.000198
typer-0.6.1,0.000132
celery-5.2.7,0.000098
cvxpy-1.3.1,0.000089
mysql-connector-python-8.0.32,0.000086
seaborn-0.11.2,0.000067
async-generator-1.10,0.000151
rfc3986-2.0.0,0.000067
pluggy-0.13.1,0.000104
python-multipart-0.0.6,0.000065
py-cpuinfo-9.0.0,0.00009
tornado-6.1,0.000083
lscsoft-glue-3.0.1,0.000063
terminado-0.17.1,0.000096
lockfile-0.12.2,0.000102
sqlparse-0.4.4,0.000664
botocore-stubs-1.24.38,0.000063
smart-open-6.3.0,0.000093
asttokens-2.2.1,0.000169
wrapt-1.14.1,0.000078
distributed-2023.4.0,0.000059
pyzmq-22.3.0,0.000065
parse-1.19.0,0.000131
support-developer-1.0.5,0.000283
hat-json-0.5.14,0.000091
eth-abi-2.2.0,0.000071
dogpile-cache-1.1.8,0.000067
httptools-0.5.0,0.000102
attrs-19.3.0,0.000151
opencv-contrib-python-4.7.0.72,0.00009
boto3-1.21.38,0.000062
aws-cdk-cloud-assembly-schema-1.198.1,0.00009
pytz-2021.3,0.000109
docutils-0.17.1,0.000086
opentelemetry-util-http-0.27b0,0.000086
zc-buildout-3.0.1,0.000147
eth-hash-0.3.3,0.000162
bidict-0.22.1,0.000085
libcst-0.4.9,0.000097
frozendict-2.3.7,0.000147
multipledispatch-0.6.0,0.000101
uncertainties-3.1.7,0.000067
singledispatch-4.0.0,0.000094
lalsuite-7.11,0.000064
pyusb-1.2.1,0.00018
tensorboard-2.12.2,0.000066
parsel-1.7.0,0.000076
zeroconf-0.56.0,0.000127
srsly-2.4.6,0.000083
deepmerge-1.1.0,0.000102
vtk-9.2.6,0.000084
parsedatetime-2.6,0.000089
