Id,Label,Degree,Pageranks,Eigencentrality,FinalRiskScore,In_reach,Out_reach,Outgoing Risk (Inreach),Incoming Risk (Outreach)
3461,modelparameters-2023.1.0,4,4.10E-05,0.00046,0.804511403,4,2,2.444915336,1.597843163
7643,go-extension-0.0.1,3,3.50E-05,0,0.832059477,4,1,2.443859291,0.832059477
2311,hytouch-0.0.1,1,3.50E-05,0,0.847629293,3,1,2.438618765,0.847629293
834,mako-1.2.4,22,0.00019,0.00995,0.724663404,3,73,2.43622332,50.99309669
9734,aiohttp-1.0.5,5,7.60E-05,0.00094,0.327320982,4,3,2.435731295,1.793948344
6240,colorcet-3.0.1,4,5.00E-05,0.00146,0.904191917,3,7,2.432982055,5.171565494
12428,colorcet-3.0.0,3,4.10E-05,0.00046,0.904191917,3,2,2.432982055,1.599415745
7539,google-voice-parser-0.1.1,2,3.50E-05,0,0.695153685,4,1,2.431399423,0.695153685
9022,hstsparser-1.1.4,2,3.50E-05,0,0.799153082,3,1,2.431217785,0.799153082
8820,graf-0.1.2,3,3.50E-05,0,0.69548169,4,1,2.431202107,0.69548169
3971,happie-0.3.1,2,3.50E-05,0,0.831913085,5,1,2.430337486,0.831913085
2351,globomap-driver-napi-0.0.28,2,3.50E-05,0,0.714400468,4,1,2.429363761,0.714400468
7004,jnrbase-1.3.0,3,4.00E-05,0.00046,0.819511424,3,2,2.425847654,1.621891571
13090,golomb-coding-1.0.6,2,3.50E-05,0,0.832640008,3,1,2.423125313,0.832640008
706,gasync-0.0.2,2,5.00E-05,0.00046,0.83204139,3,2,2.423030862,1.655381222
11211,alchy-2.2.2,3,3.90E-05,0.00046,0.790984657,4,2,2.422892009,1.437068663
5521,htmq-1.0.0,1,3.50E-05,0,0.8319015,3,1,2.422873467,0.8319015
11009,greencache-1.0.0,1,3.50E-05,0,0.8319015,3,1,2.422873467,0.8319015
1481,hyperdoc-0.0.1,1,3.50E-05,0,0.968450721,3,1,2.421390639,0.968450721
13060,a2svm-0.1.5,2,3.50E-05,0,0.682905548,3,1,2.41878052,0.682905548
3696,httpcore-0.11.1,3,4.40E-05,0.00048,0.747009623,3,5,2.416681255,3.623035366
7210,httpcore-0.12.3,4,5.40E-05,0.00096,0.747009623,3,5,2.416681255,3.343108461
6461,httpcore-0.13.2,3,4.30E-05,0.00048,0.747009623,3,3,2.416681255,1.918754089
1172,python-daemon-3.0.1,10,0.00012,0.00331,0.671641247,4,15,2.415892563,9.721126592
9933,python-daemon-2.3.2,5,4.30E-05,0.00091,0.671641247,4,3,2.415892563,2.295718621
1850,netcdf4-1.6.3,31,0.000162,0.01232,0.634814664,6,43,2.41307156,31.78981733
161,retry-0.9.2,14,0.00011,0.00573,0.811239802,3,23,2.412692827,17.14763553
3240,hihylang-1.0,1,3.50E-05,0,0.820722467,3,1,2.411711939,0.820722467
9265,hymn-0.9,1,3.50E-05,0,0.820415031,3,1,2.411404503,0.820415031
12979,gpuctl-0.3.6,3,3.50E-05,0,0.695153207,4,1,2.411207745,0.695153207
11637,hjoin-0.2.0,1,3.50E-05,0,0.831819455,3,1,2.410175792,0.831819455
11035,heresafe-1.0.4,1,3.50E-05,0,0.821348705,3,1,2.408934232,0.821348705
8058,dict-hash-1.1.29,4,4.50E-05,0.001,0.816680536,3,7,2.408302506,5.145868788
276,numba-0.56.4,48,0.000386,0.02032,0.671641247,6,66,2.406950418,47.45232543
3147,hacspec-0.0.1.dev3,2,3.50E-05,0,0.671641247,4,1,2.406536083,0.671641247
8319,muzzle-0.0.1,3,4.20E-05,0.00046,0.711042033,3,2,2.404286983,1.422044143
10821,hatanaka-2.8.1,2,3.50E-05,0,0.84723031,3,1,2.403615118,0.84723031
5207,alive-progress-3.1.1,4,4.30E-05,0.00096,0.793236768,3,5,2.400145352,3.794035607
6073,alive-progress-2.4.1,5,4.80E-05,0.00137,0.793236768,3,4,2.400145352,2.878905971
6400,ebooklib-0.18,5,6.90E-05,0.00094,0.613535185,4,4,2.396882929,2.969568058
2527,symba-1.2.1,4,5.80E-05,0.00107,0.749994876,3,9,2.396085172,7.307083844
5524,gpsexif-0.3,3,3.50E-05,0,0.847663534,4,1,2.395602947,0.847663534
12190,pymortafix-0.2.2,3,4.50E-05,0.00046,0.850102287,3,2,2.3946454,1.698263424
8396,babel-2.11.0,6,4.20E-05,0.0019,0.815605004,3,6,2.389185378,3.884204672
11359,babel-2.9.1,5,4.00E-05,0.00142,0.815605004,3,5,2.389185378,3.27517284
304,nvidia-cudnn-cu11-8.5.0.96,3,0.000119,0.00425,0.671641247,4,164,2.387695785,119.623219
307,nvidia-cusolver-cu11-11.4.0.1,2,9.60E-05,0.00343,0.671641247,4,149,2.387695785,109.5031632
7413,hyrule-0.3.0,2,4.20E-05,0.00046,0.794551629,3,2,2.385541101,1.6261023
5325,abdal-net-py-2.2,2,3.50E-05,0,0.710944862,4,1,2.384054811,0.710944862
7629,htr-united-metadata-generator-1.0.0,3,3.50E-05,0,0.684032914,4,1,2.383447066,0.684032914
11917,hl7tojson-0.0.2,2,3.50E-05,0,0.836559778,3,1,2.382875752,0.836559778
9218,goofy-0.1.0,2,3.50E-05,0,0.812350583,3,1,2.382270045,0.812350583
2969,colander-2.0,4,5.00E-05,0.00098,0.853475272,3,6,2.380180992,4.639773508
4145,gt-dicom-connector-0.0.2,1,3.50E-05,0,0.847610933,3,1,2.37991812,0.847610933
4135,hijricalendar-0.0.1,2,3.50E-05,0,0.831903894,3,1,2.378650315,0.831903894
5504,interchange-2021.0.4,3,4.40E-05,0.00055,0.831721672,3,6,2.37692122,4.844170975
1131,echo-0.8.0,4,4.60E-05,0.00111,0.667599337,4,11,2.375709127,8.382741389
10051,py-kim-1.2.4,3,4.10E-05,0.00046,0.784354004,3,2,2.37453377,1.468872684
13546,hl7v2json-1.0.2,2,3.50E-05,0,0.828086638,3,1,2.374402612,0.828086638
12563,dm-env-1.6,4,3.70E-05,0.00048,0.671641247,4,3,2.372811729,2.267480499
6938,google-compute-engine-2.8.13,3,3.50E-05,0,0.725957756,4,1,2.372348461,0.725957756
4408,imohash-1.0.4,3,6.50E-05,0.00046,0.820581967,3,2,2.371215769,1.652047931
1145,hikka-pyro-2.0.66,2,3.50E-05,0,0.707291594,3,1,2.370803026,0.707291594
6,contourpy-1.0.7,9,0.000294,0.016168,0.805287543,7,1119,2.370650985,831.5416144
